순번_정류장ID,1-2806614,2-2806930,3-2806931,4-2806932,5-2802175,6-2801848,7-2802825,8-2802870,9-2802873,10-2802860,11-2802822,12-2802818,13-2802817,14-2802816
1-2806614,0,0.24956399999999998,0.531411,0.765636,1.2572299999999998,1.5225069999999998,1.8743109999999998,2.184208,2.673444,2.871169,3.2419700000000002,3.3921840000000003,3.6675130000000005,3.8038790000000007
2-2806930,,0,0.28184699999999996,0.516072,1.007666,1.272943,1.624747,1.934644,2.42388,2.621605,2.9924060000000003,3.1426200000000004,3.4179490000000006,3.554315000000001
3-2806931,,,0,0.234225,0.725819,0.991096,1.3429,1.652797,2.142033,2.3397580000000002,2.7105590000000004,2.8607730000000005,3.1361020000000006,3.272468000000001
4-2806932,,,,0,0.491594,0.756871,1.1086749999999999,1.4185719999999997,1.9078079999999997,2.105533,2.476334,2.626548,2.9018770000000003,3.0382430000000005
5-2802175,,,,,0,0.265277,0.617081,0.926978,1.4162139999999999,1.6139389999999998,1.98474,2.134954,2.410283,2.5466490000000004
6-2801848,,,,,,0,0.351804,0.661701,1.1509369999999999,1.3486619999999998,1.7194629999999997,1.8696769999999998,2.145006,2.281372
7-2802825,,,,,,,0,0.309897,0.7991329999999999,0.9968579999999999,1.367659,1.517873,1.793202,1.929568
8-2802870,,,,,,,,0,0.48923599999999995,0.6869609999999999,1.0577619999999999,1.207976,1.4833049999999999,1.6196709999999999
9-2802873,,,,,,,,,0,0.197725,0.5685260000000001,0.7187400000000002,0.9940690000000001,1.130435
10-2802860,,,,,,,,,,0,0.37080100000000005,0.521015,0.7963439999999999,0.9327099999999999
11-2802822,,,,,,,,,,,0,0.15021400000000001,0.425543,0.561909
12-2802818,,,,,,,,,,,,0,0.275329,0.41169500000000003
13-2802817,,,,,,,,,,,,,0,0.13636600000000001
14-2802816,,,,,,,,,,,,,,0
