순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2804990,6-2805948,7-2805949,8-2800371,9-2803056,10-2802651,11-2805435,12-2803096,13-2803112,14-2803119,15-2806906,16-2802763,17-2802635,18-2802730,19-2802727,20-2802718,21-2802712,22-2802708,23-2802738,24-2802728,25-2802744,26-2802767,27-2802785,28-2802812,29-2802844,30-2802867,31-2805711,32-2802393,33-2802395,34-2802399,35-2802406,36-2802412,37-2802372,38-2802474,39-2802487,40-2802530,41-2802546,42-2802562,43-2802571,44-2802576,45-2802585,46-2802374,47-2802588
1-2805726,0,0.327373,0.6277280000000001,1.0797130000000001,1.580489,2.094483,2.382837,2.6840379999999997,3.2588959999999996,3.761017,4.3565119999999995,4.646431,4.942222,5.109845,5.475311,6.130996,6.948518,7.447417,7.902431999999999,8.346252,8.567146,9.143763,9.93322,10.436871,10.77783,11.090482,11.437396999999999,11.739151,11.982443,12.207673,12.753569,13.224103000000001,13.661407,14.147336000000001,14.792037,15.143312,15.597724,15.992806999999999,16.211448,16.627619,17.133096,17.45687,17.750377999999998,18.028654,18.455614999999998,18.663829,19.448211999999998
2-2805739,,0,0.30035500000000004,0.75234,1.253116,1.7671099999999997,2.0554639999999997,2.3566649999999996,2.9315229999999994,3.4336439999999993,4.029138999999999,4.319057999999999,4.6148489999999995,4.782471999999999,5.147937999999999,5.803622999999999,6.621144999999999,7.120043999999999,7.5750589999999995,8.018879,8.239773,8.81639,9.605847,10.109498,10.450457,10.763109,11.110024,11.411778,11.65507,11.8803,12.426196000000001,12.896730000000002,13.334034,13.819963000000001,14.464664,14.815939,15.270351,15.665434,15.884075,16.300245999999998,16.805722999999997,17.129496999999997,17.423004999999996,17.701280999999998,18.128241999999997,18.336456,19.120838999999997
3-2800372,,,0,0.451985,0.952761,1.466755,1.755109,2.05631,2.6311679999999997,3.1332889999999995,3.7287839999999997,4.0187029999999995,4.314494,4.482117,4.847582999999999,5.503267999999999,6.32079,6.8196889999999994,7.274704,7.7185239999999995,7.939418,8.516035,9.305492000000001,9.809143,10.150102,10.462754,10.809669,11.111423,11.354715,11.579945,12.125841000000001,12.596375000000002,13.033679000000001,13.519608000000002,14.164309000000001,14.515584,14.969996,15.365079,15.58372,15.999891,16.505368,16.829142,17.12265,17.400926000000002,17.827887,18.036101000000002,18.820484
4-2800317,,,,0,0.500776,1.01477,1.303124,1.604325,2.179183,2.681304,3.276799,3.566718,3.8625089999999997,4.030132,4.395598,5.051283,5.868805,6.367704,6.822718999999999,7.266538999999999,7.487432999999999,8.06405,8.853507,9.357158,9.698117,10.010769,10.357683999999999,10.659438,10.90273,11.12796,11.673856,12.144390000000001,12.581694,13.067623000000001,13.712324,14.063599,14.518011,14.913094,15.131734999999999,15.547906,16.053383,16.377157,16.670665,16.948941,17.375902,17.584116,18.368499
5-2804990,,,,,0,0.513994,0.802348,1.103549,1.678407,2.180528,2.776023,3.0659419999999997,3.3617329999999996,3.5293559999999995,3.8948219999999996,4.550507,5.368029,5.866928,6.321942999999999,6.765762999999999,6.986656999999999,7.563273999999999,8.352730999999999,8.856381999999998,9.197340999999998,9.509992999999998,9.856907999999997,10.158661999999998,10.401953999999998,10.627183999999998,11.173079999999999,11.643614,12.080917999999999,12.566847,13.211547999999999,13.562822999999998,14.017234999999998,14.412317999999997,14.630958999999997,15.047129999999997,15.552606999999998,15.876380999999999,16.169888999999998,16.448165,16.875125999999998,17.08334,17.867722999999998
6-2805948,,,,,,0,0.288354,0.589555,1.1644130000000001,1.6665340000000002,2.262029,2.551948,2.847739,3.0153619999999997,3.3808279999999997,4.036512999999999,4.854035,5.352933999999999,5.807948999999999,6.251768999999999,6.472662999999999,7.049279999999999,7.838736999999998,8.342387999999998,8.683346999999998,8.995998999999998,9.342913999999997,9.644667999999998,9.887959999999998,10.113189999999998,10.659085999999999,11.12962,11.566923999999998,12.052852999999999,12.697553999999998,13.048828999999998,13.503240999999997,13.898323999999997,14.116964999999997,14.533135999999997,15.038612999999998,15.362386999999998,15.655894999999997,15.934170999999997,16.361131999999998,16.569346,17.353728999999998
7-2805949,,,,,,,0,0.301201,0.8760589999999999,1.37818,1.973675,2.263594,2.559385,2.7270079999999997,3.0924739999999997,3.748159,4.565681,5.064579999999999,5.519594999999999,5.963414999999999,6.184308999999999,6.760925999999999,7.550382999999998,8.054033999999998,8.394992999999998,8.707644999999998,9.054559999999997,9.356313999999998,9.599605999999998,9.824835999999998,10.370731999999999,10.841266,11.278569999999998,11.764498999999999,12.409199999999998,12.760474999999998,13.214886999999997,13.609969999999997,13.828610999999997,14.244781999999997,14.750258999999998,15.074032999999998,15.367540999999997,15.645816999999997,16.072777999999996,16.280991999999998,17.065374999999996
8-2800371,,,,,,,,0,0.574858,1.0769790000000001,1.6724740000000002,1.9623930000000003,2.2581840000000004,2.4258070000000003,2.7912730000000003,3.4469580000000004,4.264480000000001,4.7633790000000005,5.218394,5.662214,5.883108,6.459725,7.249181999999999,7.752832999999999,8.093791999999999,8.406443999999999,8.753358999999998,9.055112999999999,9.298404999999999,9.523634999999999,10.069531,10.540065,10.977369,11.463298,12.107999,12.459273999999999,12.913685999999998,13.308768999999998,13.527409999999998,13.943580999999998,14.449057999999999,14.772832,15.066339999999999,15.344615999999998,15.771576999999999,15.979790999999999,16.764173999999997
9-2803056,,,,,,,,,0,0.502121,1.097616,1.387535,1.6833259999999999,1.850949,2.216415,2.8721,3.689622,4.188521,4.643535999999999,5.087355999999999,5.308249999999999,5.884866999999999,6.674323999999999,7.177974999999998,7.518933999999998,7.831585999999998,8.178500999999997,8.480254999999998,8.723546999999998,8.948776999999998,9.494672999999999,9.965207,10.402510999999999,10.88844,11.533140999999999,11.884415999999998,12.338827999999998,12.733910999999997,12.952551999999997,13.368722999999997,13.874199999999998,14.197973999999999,14.491481999999998,14.769757999999998,15.196718999999998,15.404932999999998,16.189315999999998
10-2802651,,,,,,,,,,0,0.595495,0.8854139999999999,1.1812049999999998,1.348828,1.714294,2.369979,3.1875009999999997,3.6864,4.141415,4.585235,4.806129,5.382746,6.172203,6.675853999999999,7.016812999999999,7.329464999999999,7.676379999999999,7.978133999999999,8.221426,8.446655999999999,8.992552,9.463086,9.90039,10.386319,11.03102,11.382295,11.836706999999999,12.231789999999998,12.450430999999998,12.866601999999999,13.372079,13.695853,13.989360999999999,14.267636999999999,14.694598,14.902811999999999,15.687195
