순번_정류장ID,24-2803478,25-2805645,26-2805646,27-2803481,28-2805167,29-2805162,30-2805160,31-2805158,32-2803416,33-2807467,34-2807468,35-2801115,36-2801070,37-2800837,38-2800983,39-2800835,40-2800843,41-2801020,42-2801043,43-2801003
24-2803478,0,1.643128,2.305027,3.013111,3.294228,3.8280250000000002,4.35296,5.107382,7.491861,13.256809,18.297528,23.627516,24.172549,24.925217,25.414395,25.945957999999997,26.453941999999998,27.585299999999997,28.326337999999996,29.077590999999995
25-2805645,,0,0.661899,1.369983,1.6511,2.1848970000000003,2.7098320000000005,3.4642540000000004,5.848733000000001,11.613681000000001,16.654400000000003,21.984388000000003,22.529421000000003,23.282089000000003,23.771267,24.30283,24.810814,25.942172,26.68321,27.434462999999997
26-2805646,,,0,0.708084,0.989201,1.522998,2.047933,2.802355,5.186834,10.951782000000001,15.992501,21.322489,21.867522,22.62019,23.109368,23.640931,24.148915,25.280272999999998,26.021310999999997,26.772563999999996
27-2803481,,,,0,0.281117,0.8149140000000001,1.339849,2.094271,4.47875,10.243698,15.284417000000001,20.614405,21.159438,21.912106,22.401284,22.932847,23.440831,24.572188999999998,25.313226999999998,26.064479999999996
28-2805167,,,,,0,0.5337970000000001,1.058732,1.813154,4.197633,9.962581,15.0033,20.333288,20.878321,21.630989,22.120167,22.651729999999997,23.159713999999997,24.291071999999996,25.032109999999996,25.783362999999994
29-2805162,,,,,,0,0.524935,1.279357,3.6638360000000003,9.428784,14.469503,19.799491,20.344524,21.097192,21.58637,22.117932999999997,22.625916999999998,23.757274999999996,24.498312999999996,25.249565999999994
30-2805160,,,,,,,0,0.754422,3.138901,8.903849000000001,13.944568,19.274556,19.819589,20.572257,21.061435,21.592997999999998,22.100982,23.232339999999997,23.973377999999997,24.724630999999995
31-2805158,,,,,,,,0,2.3844790000000002,8.149427000000001,13.190146000000002,18.520134000000002,19.065167000000002,19.817835000000002,20.307013,20.838576,21.34656,22.477918,23.218956,23.970208999999997
32-2803416,,,,,,,,,0,5.764948,10.805667,16.135655,16.680688,17.433356,17.922534,18.454096999999997,18.962080999999998,20.093438999999996,20.834476999999996,21.585729999999995
33-2807467,,,,,,,,,,0,5.040719,10.370707,10.91574,11.668408,12.157586,12.689149,13.197133000000001,14.328491000000001,15.069529000000001,15.820782000000001
34-2807468,,,,,,,,,,,0,5.329988,5.875021,6.627689,7.116867,7.64843,8.156414,9.287772,10.02881,10.780063
35-2801115,,,,,,,,,,,,0,0.545033,1.297701,1.7868789999999999,2.318442,2.826426,3.957784,4.698822,5.450075
36-2801070,,,,,,,,,,,,,0,0.752668,1.241846,1.773409,2.281393,3.412751,4.153789,4.905042
37-2800837,,,,,,,,,,,,,,0,0.489178,1.0207410000000001,1.5287250000000001,2.660083,3.4011210000000003,4.152374
38-2800983,,,,,,,,,,,,,,,0,0.531563,1.039547,2.1709050000000003,2.9119430000000004,3.663196
39-2800835,,,,,,,,,,,,,,,,0,0.507984,1.639342,2.38038,3.131633
40-2800843,,,,,,,,,,,,,,,,,0,1.131358,1.8723960000000002,2.6236490000000003
41-2801020,,,,,,,,,,,,,,,,,,0,0.741038,1.4922909999999998
42-2801043,,,,,,,,,,,,,,,,,,,0,0.751253
43-2801003,,,,,,,,,,,,,,,,,,,,0
