순번_정류장ID,15-2807548,16-2807626,17-2805703,18-2806807,19-2807439,20-2805702,21-2805700,22-2805698,23-2806024,24-2806031,25-2806083,26-2805637
15-2807548,0,18.240582999999997,18.567059999999998,18.963976999999996,19.185727999999997,19.484617999999998,19.676671,20.474097,20.682668,21.051222,21.362410999999998,21.731779999999997
16-2807626,,0,0.326477,0.7233940000000001,0.9451450000000001,1.2440350000000002,1.4360880000000003,2.2335140000000004,2.4420850000000005,2.8106390000000006,3.1218280000000007,3.4911970000000005
17-2805703,,,0,0.396917,0.618668,0.917558,1.109611,1.9070369999999999,2.115608,2.484162,2.795351,3.16472
18-2806807,,,,0,0.22175100000000003,0.520641,0.712694,1.5101200000000001,1.7186910000000002,2.0872450000000002,2.3984340000000004,2.7678030000000002
19-2807439,,,,,0,0.29889,0.490943,1.2883689999999999,1.49694,1.865494,2.176683,2.546052
20-2805702,,,,,,0,0.192053,0.989479,1.19805,1.566604,1.877793,2.247162
21-2805700,,,,,,,0,0.797426,1.005997,1.374551,1.68574,2.055109
22-2805698,,,,,,,,0,0.208571,0.577125,0.888314,1.257683
23-2806024,,,,,,,,,0,0.368554,0.679743,1.049112
24-2806031,,,,,,,,,,0,0.311189,0.680558
25-2806083,,,,,,,,,,,0,0.369369
26-2805637,,,,,,,,,,,,0
