순번_정류장ID,1-2801796,2-2803544,3-2803541,4-2801806,5-2801954,6-2801957,7-2801963,8-2801970,9-2801956,10-2801945,11-2801686,12-2801182,13-2801662,14-2801649,15-2801642,16-2800166,17-2803661,18-2801697,19-2801925,20-2802020,21-2801907,22-2802033,23-2802057,24-2802105,25-2802127,26-2802131,27-2802148,28-2806098,29-2802187,30-2802189,31-2801857,32-2803775,33-2801832,34-2801830,35-2801824,36-2802232,37-2802240,38-2802256,39-2802268,40-2802276,41-2801814,42-2801811,43-2805668,44-2802295,45-2802296,46-2801865,47-2802291,48-2802549,49-2802365,50-2802570,51-2802563,52-2802566,53-2802366,54-2802349,55-2802577,56-2802581,57-2804851,58-2802597,59-2802594,60-2802591,61-2802590,62-2805039,63-2805309,64-2805206,65-2805004,66-2806095,67-2806096,68-2805879,69-2806638,70-2806639,71-2807451,72-2807453,73-2807457,74-2806050,75-2806582,76-2807454,77-2807455
1-2801796,0,0.393266,0.681471,1.211526,1.684473,1.9729160000000001,2.693104,2.807048,2.945455,5.712678,5.911419,6.423493000000001,6.912733,7.263141,8.415573,8.921248,9.545839,11.630308000000001,13.196361000000001,13.483229000000001,14.039143000000001,14.182059,14.556827,15.332809000000001,15.680047000000002,16.058149,16.89887,17.348177,18.003849,18.547076,19.606746,20.296395,20.48845,20.738675,20.911657,21.254548000000003,21.612441000000004,22.117905000000004,22.452375000000004,22.878386000000003,23.074731000000003,23.444652000000005,24.094647000000005,24.456449000000006,24.942661000000005,25.545809000000006,25.959057000000005,26.657374000000004,26.942546000000004,27.386594000000002,27.896083,28.205338,28.501008000000002,28.717920000000003,28.884950000000003,29.543506000000004,31.152741000000006,31.389651000000008,31.586896000000007,31.788097000000008,32.20258200000001,32.51785300000001,32.90113700000001,33.06448500000001,33.31993700000001,33.51743900000001,34.30209700000001,34.68528500000001,34.89729400000001,35.56778200000001,36.58912800000001,37.13662700000001,38.31388100000001,38.77633500000001,39.79828500000001,40.29675900000001,40.85013300000001
2-2803544,,0,0.28820500000000004,0.8182600000000001,1.291207,1.57965,2.2998380000000003,2.4137820000000003,2.5521890000000003,5.319412,5.518153,6.030227,6.519467,6.8698749999999995,8.022307,8.527982,9.152573,11.237042,12.803095,13.089963000000001,13.645877,13.788793,14.163561,14.939543,15.286781000000001,15.664883000000001,16.505604,16.954911000000003,17.610583000000002,18.153810000000004,19.213480000000004,19.903129000000003,20.095184000000003,20.345409000000004,20.518391000000005,20.861282000000006,21.219175000000007,21.724639000000007,22.059109000000007,22.485120000000006,22.681465000000006,23.051386000000008,23.70138100000001,24.06318300000001,24.549395000000008,25.15254300000001,25.565791000000008,26.264108000000007,26.549280000000007,26.993328000000005,27.502817000000004,27.812072000000004,28.107742000000005,28.324654000000006,28.491684000000006,29.150240000000007,30.75947500000001,30.99638500000001,31.19363000000001,31.39483100000001,31.80931600000001,32.12458700000001,32.507871000000016,32.671219000000015,32.92667100000001,33.12417300000001,33.90883100000001,34.29201900000001,34.50402800000001,35.17451600000001,36.19586200000001,36.743361000000014,37.92061500000001,38.38306900000001,39.40501900000001,39.90349300000001,40.45686700000001
3-2803541,,,0,0.530055,1.003002,1.291445,2.011633,2.125577,2.2639839999999998,5.031207,5.229948,5.742022,6.231262,6.58167,7.734102,8.239777,8.864368,10.948837000000001,12.514890000000001,12.801758000000001,13.357672,13.500588,13.875356,14.651337999999999,14.998576,15.376678,16.217399,16.666706,17.322378,17.865605000000002,18.925275000000003,19.614924000000002,19.806979000000002,20.057204000000002,20.230186000000003,20.573077000000005,20.930970000000006,21.436434000000006,21.770904000000005,22.196915000000004,22.393260000000005,22.763181000000007,23.413176000000007,23.774978000000008,24.261190000000006,24.864338000000007,25.277586000000007,25.975903000000006,26.261075000000005,26.705123000000004,27.214612000000002,27.523867000000003,27.819537000000004,28.036449000000005,28.203479000000005,28.862035000000006,30.471270000000004,30.708180000000006,30.905425000000005,31.106626000000006,31.521111000000005,31.836382000000004,32.219666000000004,32.383014,32.638466,32.835968,33.620626,34.003814,34.215823,34.886311,35.907657,36.455156,37.63241,38.094864,39.116814,39.615288,40.168662
4-2801806,,,,0,0.472947,0.76139,1.481578,1.595522,1.733929,4.501152,4.699893,5.2119670000000005,5.701207,6.051615,7.204047,7.709722,8.334313,10.418782,11.984835,12.271703,12.827617,12.970533,13.345301,14.121282999999998,14.468520999999999,14.846623,15.687344,16.136651,16.792323,17.33555,18.395220000000002,19.084869,19.276924,19.527149,19.700131000000003,20.043022000000004,20.400915000000005,20.906379000000005,21.240849000000004,21.666860000000003,21.863205000000004,22.233126000000006,22.883121000000006,23.244923000000007,23.731135000000005,24.334283000000006,24.747531000000006,25.445848000000005,25.731020000000004,26.175068000000003,26.684557,26.993812000000002,27.289482000000003,27.506394000000004,27.673424000000004,28.331980000000005,29.941215000000007,30.17812500000001,30.375370000000007,30.57657100000001,30.991056000000007,31.306327000000007,31.689611000000006,31.852959000000006,32.108411000000004,32.305913000000004,33.090571000000004,33.473759,33.685768,34.356256,35.377602,35.925101000000005,37.102355,37.564809000000004,38.586759,39.085233,39.638607
5-2801954,,,,,0,0.288443,1.008631,1.122575,1.260982,4.028205,4.226946,4.73902,5.22826,5.5786679999999995,6.7311,7.236775,7.861365999999999,9.945834999999999,11.511887999999999,11.798756,12.354669999999999,12.497585999999998,12.872353999999998,13.648335999999997,13.995573999999998,14.373675999999998,15.214396999999998,15.663703999999997,16.319376,16.862603,17.922273,18.611922,18.803977,19.054202,19.227184,19.570075000000003,19.927968000000003,20.433432000000003,20.767902000000003,21.193913000000002,21.390258000000003,21.760179000000004,22.410174000000005,22.771976000000006,23.258188000000004,23.861336000000005,24.274584000000004,24.972901000000004,25.258073000000003,25.702121,26.21161,26.520865,26.816535000000002,27.033447000000002,27.200477000000003,27.859033000000004,29.468268000000002,29.705178000000004,29.902423000000002,30.103624000000003,30.518109000000003,30.833380000000002,31.216664,31.380012,31.635464,31.832966,32.617624,33.000811999999996,33.212821,33.883309,34.904655,35.452154,36.629408,37.091862,38.113811999999996,38.612286,39.165659999999995
6-2801957,,,,,,0,0.720188,0.8341320000000001,0.972539,3.739762,3.938503,4.450577,4.939817,5.2902249999999995,6.442657,6.948332,7.572922999999999,9.657392,11.223445,11.510313,12.066227,12.209143,12.583910999999999,13.359893,13.707131,14.085233,14.925954,15.375261,16.030933,16.574160000000003,17.633830000000003,18.323479000000003,18.515534000000002,18.765759000000003,18.938741000000004,19.281632000000005,19.639525000000006,20.144989000000006,20.479459000000006,20.905470000000005,21.101815000000006,21.471736000000007,22.121731000000008,22.48353300000001,22.969745000000007,23.572893000000008,23.986141000000007,24.684458000000006,24.969630000000006,25.413678000000004,25.923167000000003,26.232422000000003,26.528092000000004,26.745004000000005,26.912034000000006,27.570590000000006,29.179825000000008,29.41673500000001,29.61398000000001,29.81518100000001,30.22966600000001,30.544937000000008,30.928221000000008,31.091569000000007,31.347021000000005,31.544523000000005,32.329181000000005,32.712369,32.924378000000004,33.594866,34.616212000000004,35.163711000000006,36.340965000000004,36.803419000000005,37.825369,38.323843000000004,38.877217
7-2801963,,,,,,,0,0.113944,0.252351,3.019574,3.218315,3.730389,4.219629,4.570037,5.722469,6.228144,6.852735,8.937204,10.503257,10.790125,11.346039,11.488954999999999,11.863722999999998,12.639705,12.986943,13.365045,14.205766,14.655073,15.310745,15.853972,16.913642,17.603291,17.795346,18.045571,18.218553,18.561444,18.919337000000002,19.424801000000002,19.759271000000002,20.185282,20.381627,20.751548000000003,21.401543000000004,21.763345000000005,22.249557000000003,22.852705000000004,23.265953000000003,23.964270000000003,24.249442000000002,24.69349,25.202979,25.512234,25.807904,26.024816,26.191846,26.850402000000003,28.459637,28.696547000000002,28.893792,29.094993000000002,29.509478,29.824749,30.208033,30.371381,30.626832999999998,30.824334999999998,31.608992999999998,31.992181,32.20419,32.874677999999996,33.896024,34.443523,35.620777,36.083231,37.105180999999995,37.603654999999996,38.157028999999994
8-2801970,,,,,,,,0,0.138407,2.90563,3.104371,3.616445,4.105685,4.456093,5.608525,6.1142,6.738791,8.82326,10.389313,10.676181,11.232095,11.375010999999999,11.749778999999998,12.525761,12.872999,13.251101,14.091822,14.541129,15.196801,15.740028,16.799698,17.489347,17.681402,17.931627,18.104609,18.4475,18.805393000000002,19.310857000000002,19.645327,20.071338,20.267683,20.637604000000003,21.287599000000004,21.649401000000005,22.135613000000003,22.738761000000004,23.152009000000003,23.850326000000003,24.135498000000002,24.579546,25.089035,25.39829,25.69396,25.910872,26.077902,26.736458000000002,28.345693000000004,28.582603000000006,28.779848000000005,28.981049000000006,29.395534000000005,29.710805000000004,30.094089000000004,30.257437000000003,30.512889,30.710391,31.495049,31.878237000000002,32.090246,32.760734,33.78208,34.329579,35.506833,35.969287,36.991237,37.489711,38.043085
9-2801956,,,,,,,,,0,2.767223,2.965964,3.478038,3.9672780000000003,4.317686,5.470118,5.975793,6.600384,8.684853,10.250906,10.537774,11.093688,11.236604,11.611372,12.387353999999998,12.734592,13.112694,13.953415,14.402721999999999,15.058394,15.601621,16.661291,17.350939999999998,17.542994999999998,17.793219999999998,17.966202,18.309093,18.666986,19.17245,19.50692,19.932931,20.129276,20.499197000000002,21.149192000000003,21.510994000000004,21.997206000000002,22.600354000000003,23.013602000000002,23.711919,23.997091,24.441139,24.950628,25.259883,25.555553,25.772465,25.939495,26.598051,28.207286000000003,28.444196000000005,28.641441000000004,28.842642000000005,29.257127000000004,29.572398000000003,29.955682000000003,30.119030000000002,30.374482,30.571984,31.356642,31.73983,31.951839,32.622327,33.643673,34.191172,35.368426,35.83088,36.85283,37.351304,37.904678
10-2801945,,,,,,,,,,0,0.198741,0.710815,1.2000549999999999,1.550463,2.702895,3.20857,3.833161,5.91763,7.483683,7.770551,8.326465,8.469381,8.844149,9.620131,9.967369000000001,10.345471000000002,11.186192000000002,11.635499000000001,12.291171000000002,12.834398000000002,13.894068000000003,14.583717000000002,14.775772000000002,15.025997000000002,15.198979000000001,15.541870000000001,15.899763000000002,16.405227000000004,16.739697000000003,17.165708000000002,17.362053000000003,17.731974000000005,18.381969000000005,18.743771000000006,19.229983000000004,19.833131000000005,20.246379000000005,20.944696000000004,21.229868000000003,21.673916000000002,22.183405,22.49266,22.788330000000002,23.005242000000003,23.172272000000003,23.830828000000004,25.440063000000002,25.676973000000004,25.874218000000003,26.075419000000004,26.489904000000003,26.805175000000002,27.188459,27.351807,27.607259,27.804761,28.589419,28.972607,29.184616,29.855103999999997,30.87645,31.423948999999997,32.601203,33.063657,34.085606999999996,34.584081,35.137454999999996
11-2801686,,,,,,,,,,,0,0.512074,1.001314,1.351722,2.5041539999999998,3.009829,3.63442,5.718889,7.284942,7.57181,8.127724,8.27064,8.645408,9.421389999999999,9.768628,10.14673,10.987451,11.436758,12.09243,12.635657,13.695327,14.384976,14.577031,14.827256,15.000238,15.343129,15.701022,16.206486,16.540956,16.966967,17.163312,17.533233000000003,18.183228000000003,18.545030000000004,19.031242000000002,19.634390000000003,20.047638000000003,20.745955000000002,21.031127,21.475175,21.984664,22.293919,22.589589,22.806501,22.973531,23.632087000000002,25.241322000000004,25.478232000000006,25.675477000000004,25.876678000000005,26.291163000000005,26.606434000000004,26.989718000000003,27.153066000000003,27.408518,27.60602,28.390678,28.773866,28.985875,29.656363,30.677709,31.225208,32.402462,32.864916,33.886866,34.38534,34.938714
12-2801182,,,,,,,,,,,,0,0.48923999999999995,0.839648,1.9920799999999999,2.4977549999999997,3.122346,5.206815,6.772868,7.059736,7.6156500000000005,7.758566,8.133334,8.909316,9.256554000000001,9.634656000000001,10.475377000000002,10.924684000000001,11.580356000000002,12.123583000000002,13.183253000000002,13.872902000000002,14.064957000000001,14.315182000000002,14.488164000000001,14.831055000000001,15.188948000000002,15.694412000000002,16.028882000000003,16.454893000000002,16.651238000000003,17.021159000000004,17.671154000000005,18.032956000000006,18.519168000000004,19.122316000000005,19.535564000000004,20.233881000000004,20.519053000000003,20.963101,21.47259,21.781845,22.077515000000002,22.294427000000002,22.461457000000003,23.120013000000004,24.729248000000005,24.966158000000007,25.163403000000006,25.364604000000007,25.779089000000006,26.094360000000005,26.477644000000005,26.640992000000004,26.896444000000002,27.093946000000003,27.878604000000003,28.261792000000003,28.473801,29.144289,30.165635,30.713134,31.890388,32.352842,33.374792,33.873266,34.42664
13-2801662,,,,,,,,,,,,,0,0.350408,1.50284,2.008515,2.633106,4.717575,6.283628,6.570496,7.12641,7.2693259999999995,7.644093999999999,8.420075999999998,8.767313999999999,9.145415999999999,9.986137,10.435443999999999,11.091116,11.634343,12.694013,13.383662,13.575717,13.825942,13.998923999999999,14.341814999999999,14.699708,15.205172,15.539641999999999,15.965653,16.161998,16.531919000000002,17.181914000000003,17.543716000000003,18.029928,18.633076000000003,19.046324000000002,19.744641,20.029813,20.473861,20.983349999999998,21.292605,21.588275,21.805187,21.972217,22.630773,24.240008000000003,24.476918000000005,24.674163000000004,24.875364000000005,25.289849000000004,25.605120000000003,25.988404000000003,26.151752000000002,26.407204,26.604706,27.389364,27.772552,27.984561,28.655048999999998,29.676395,30.223893999999998,31.401148,31.863602,32.885552,33.384026,33.9374
14-2801649,,,,,,,,,,,,,,0,1.152432,1.6581069999999998,2.282698,4.367167,5.93322,6.2200880000000005,6.776002,6.918918,7.293685999999999,8.069668,8.416906,8.795008000000001,9.635729000000001,10.085036,10.740708000000001,11.283935000000001,12.343605000000002,13.033254000000001,13.225309000000001,13.475534000000001,13.648516,13.991407,14.349300000000001,14.854764000000001,15.189234,15.615245000000002,15.811590000000002,16.181511000000004,16.831506000000005,17.193308000000005,17.679520000000004,18.282668000000005,18.695916000000004,19.394233000000003,19.679405000000003,20.123453,20.632942,20.942197,21.237867,21.454779000000002,21.621809000000002,22.280365000000003,23.8896,24.126510000000003,24.323755000000002,24.524956000000003,24.939441000000002,25.254712,25.637996,25.801344,26.056796,26.254298,27.038956,27.422144,27.634152999999998,28.304640999999997,29.325986999999998,29.873485999999996,31.050739999999998,31.513194,32.535143999999995,33.033618,33.586991999999995
15-2801642,,,,,,,,,,,,,,,0,0.505675,1.130266,3.214735,4.780788,5.067656,5.623570000000001,5.7664860000000004,6.141254,6.917236,7.264474,7.642576,8.483297,8.932604,9.588276,10.131503,11.191173000000001,11.880822,12.072877,12.323102,12.496084,12.838975,13.196868,13.702332,14.036802,14.462813,14.659158000000001,15.029079000000001,15.679074000000002,16.040876,16.527088,17.130236,17.543484,18.241801,18.526972999999998,18.971020999999997,19.480509999999995,19.789764999999996,20.085434999999997,20.302346999999997,20.469376999999998,21.127933,22.737167999999997,22.974078,23.171322999999997,23.372524,23.787008999999998,24.102279999999997,24.485563999999997,24.648911999999996,24.904363999999994,25.101865999999994,25.886523999999994,26.269711999999995,26.481720999999993,27.152208999999992,28.173554999999993,28.72105399999999,29.898307999999993,30.360761999999994,31.382711999999994,31.881185999999996,32.43456
16-2800166,,,,,,,,,,,,,,,,0,0.624591,2.70906,4.275113,4.561981,5.117895000000001,5.260811,5.635579,6.411561,6.758799,7.136901,7.977622,8.426929,9.082601,9.625828,10.685498,11.375147,11.567202,11.817427,11.990409,12.3333,12.691193,13.196657,13.531127,13.957138,14.153483000000001,14.523404000000001,15.173399000000002,15.535201000000002,16.021413000000003,16.624561000000003,17.037809000000003,17.736126000000002,18.021298,18.465346,18.974835,19.28409,19.57976,19.796672,19.963702,20.622258000000002,22.231493,22.468403000000002,22.665648,22.866849000000002,23.281334,23.596605,23.979889,24.143237,24.398688999999997,24.596190999999997,25.380848999999998,25.764037,25.976045999999997,26.646533999999996,27.667879999999997,28.215378999999995,29.392632999999996,29.855086999999997,30.877036999999998,31.375511,31.928885
17-2803661,,,,,,,,,,,,,,,,,0,2.084469,3.650522,3.93739,4.493304,4.63622,5.010987999999999,5.786969999999999,6.134207999999999,6.512309999999999,7.353031,7.802338,8.45801,9.001237,10.060907,10.750556,10.942611,11.192836,11.365817999999999,11.708708999999999,12.066602,12.572066,12.906536,13.332547,13.528891999999999,13.898812999999999,14.548808,14.91061,15.396822,15.99997,16.413218,17.111535,17.396707,17.840754999999998,18.350243999999996,18.659498999999997,18.955168999999998,19.172081,19.339111,19.997667,21.606901999999998,21.843812,22.041057,22.242258,22.656743,22.972013999999998,23.355297999999998,23.518645999999997,23.774097999999995,23.971599999999995,24.756257999999995,25.139445999999996,25.351454999999994,26.021942999999993,27.043288999999994,27.590787999999993,28.768041999999994,29.230495999999995,30.252445999999996,30.750919999999997,31.304294
18-2801697,,,,,,,,,,,,,,,,,,0,1.5660530000000001,1.852921,2.408835,2.551751,2.926519,3.702501,4.049739,4.427841,5.268562,5.717869,6.373541,6.916768,7.976438,8.666087,8.858141999999999,9.108367,9.281348999999999,9.624239999999999,9.982133,10.487597,10.822066999999999,11.248078,11.444423,11.814344,12.464339,12.826141000000002,13.312353000000002,13.915501,14.328749,15.027066,15.312237999999999,15.756286,16.265774999999998,16.575029999999998,16.8707,17.087612,17.254642,17.913198,19.522433,19.759343,19.956588,20.157789,20.572274,20.887545,21.270829,21.434177,21.689628999999996,21.887130999999997,22.671788999999997,23.054976999999997,23.266985999999996,23.937473999999995,24.958819999999996,25.506318999999994,26.683572999999996,27.146026999999997,28.167976999999997,28.666451,29.219825
19-2801925,,,,,,,,,,,,,,,,,,,0,0.28686799999999996,0.8427819999999999,0.985698,1.360466,2.1364479999999997,2.4836859999999996,2.8617879999999998,3.7025089999999996,4.151815999999999,4.807487999999999,5.350714999999999,6.410385,7.100034,7.292089,7.542314,7.715296,8.058187,8.416080000000001,8.921544,9.256014,9.682025000000001,9.87837,10.248291,10.898286,11.260088000000001,11.746300000000002,12.349448,12.762696,13.461013,13.746184999999999,14.190233,14.699722,15.008977,15.304647,15.521559,15.688589,16.347145,17.956380000000003,18.193290000000005,18.390535000000003,18.591736000000004,19.006221000000004,19.321492000000003,19.704776000000003,19.868124,20.123576,20.321078,21.105736,21.488924,21.700933,22.371420999999998,23.392767,23.940265999999998,25.11752,25.579974,26.601924,27.100398000000002,27.653772000000004
20-2802020,,,,,,,,,,,,,,,,,,,,0,0.555914,0.6988300000000001,1.073598,1.84958,2.196818,2.57492,3.415641,3.864948,4.52062,5.063847,6.123517,6.813166,7.005221,7.255446,7.428428,7.771319,8.129212,8.634676,8.969146,9.395157000000001,9.591502000000002,9.961423000000002,10.611418000000002,10.973220000000003,11.459432000000003,12.062580000000002,12.475828000000002,13.174145000000001,13.459317,13.903365,14.412854000000001,14.722109000000001,15.017779,15.234691000000002,15.401721000000002,16.060277000000003,17.669512000000005,17.906422000000006,18.103667000000005,18.304868000000006,18.719353000000005,19.034624000000004,19.417908000000004,19.581256000000003,19.836708,20.03421,20.818868000000002,21.202056000000002,21.414065,22.084553,23.105899,23.653398,24.830652,25.293106,26.315056000000002,26.813530000000004,27.366904000000005
