순번_정류장ID,1-2800727,2-2800691,3-2800667,4-2800340,5-2800624,6-2806214,7-2803502,8-2807466,9-2803415,10-2805157,11-2805161,12-2805163,13-2805165,14-2806237,15-2805979
1-2800727,0,0.8931379999999999,1.3538189999999999,1.8990679999999998,2.642099,12.007631,16.960651,22.85539,25.026618,26.363,27.57281,27.984264,31.188977,31.319179000000002,32.830946000000004
2-2800691,,0,0.46068100000000006,1.00593,1.748961,11.114493,16.067512999999998,21.962252,24.13348,25.469862,26.679672,27.091126,30.295839,30.426041,31.937808
3-2800667,,,0,0.545249,1.2882799999999999,10.653812,15.606832,21.501571,23.672798999999998,25.009180999999998,26.218991,26.630444999999998,29.835158,29.96536,31.477127
4-2800340,,,,0,0.743031,10.108563,15.061582999999999,20.956322,23.12755,24.463932,25.673742,26.085196,29.289909,29.420111000000002,30.931878
5-2800624,,,,,0,9.365532,14.318552,20.213290999999998,22.384518999999997,23.720900999999998,24.930711,25.342164999999998,28.546878,28.67708,30.188847
6-2806214,,,,,,0,4.9530199999999995,10.847759,13.018987,14.355369,15.565179,15.976633,19.181345999999998,19.311548,20.823314999999997
7-2803502,,,,,,,0,5.8947389999999995,8.065966999999999,9.402349,10.612158999999998,11.023612999999997,14.228325999999997,14.358527999999998,15.870294999999999
8-2807466,,,,,,,,0,2.1712279999999997,3.5076099999999997,4.71742,5.128874,8.333587,8.463789,9.975556000000001
9-2803415,,,,,,,,,0,1.336382,2.546192,2.957646,6.162359,6.292561,7.804328
10-2805157,,,,,,,,,,0,1.20981,1.621264,4.825977,4.956179,6.4679459999999995
11-2805161,,,,,,,,,,,0,0.411454,3.616167,3.746369,5.258136
12-2805163,,,,,,,,,,,,0,3.204713,3.334915,4.846682
13-2805165,,,,,,,,,,,,,0,0.13020199999999998,1.641969
14-2806237,,,,,,,,,,,,,,0,1.511767
15-2805979,,,,,,,,,,,,,,,0
