순번_정류장ID,22-2805706,23-2803164,24-2803680,25-2803677,26-2806803,27-2806565,28-2805474,29-2805475,30-2803187,31-2803763,32-2806559,33-2807429,34-2805183,35-2805459,36-2806489,37-2805460,38-2805184,39-2805185,40-2807473,41-2807475
22-2805706,0,0.856193,1.3304070000000001,1.651758,2.008384,2.367449,2.6340510000000004,3.0955380000000003,3.6808870000000002,4.1301120000000004,4.349852,4.7415650000000005,5.623083,5.973698000000001,6.3845410000000005,6.760465000000001,7.350389000000001,8.41695,8.821774,9.560292
23-2803164,,0,0.474214,0.7955650000000001,1.1521910000000002,1.5112560000000002,1.7778580000000002,2.239345,2.824694,3.2739190000000002,3.493659,3.8853720000000003,4.76689,5.117505,5.528348,5.904272000000001,6.4941960000000005,7.560757000000001,7.965581,8.704099
24-2803680,,,0,0.321351,0.677977,1.037042,1.303644,1.765131,2.35048,2.7997050000000003,3.019445,3.4111580000000004,4.292676,4.6432910000000005,5.054134,5.430058000000001,6.019982000000001,7.086543000000001,7.491367,8.229885
25-2803677,,,,0,0.356626,0.7156910000000001,0.9822930000000001,1.44378,2.029129,2.4783540000000004,2.698094,3.0898070000000004,3.971325,4.321940000000001,4.732783,5.108707000000001,5.698631000000001,6.765192000000001,7.170016,7.908534
26-2806803,,,,,0,0.359065,0.625667,1.087154,1.6725029999999999,2.121728,2.341468,2.733181,3.614699,3.965314,4.376157,4.752081,5.342005,6.408566,6.81339,7.551908
27-2806565,,,,,,0,0.266602,0.728089,1.313438,1.762663,1.9824030000000001,2.3741160000000003,3.2556340000000006,3.6062490000000005,4.017092000000001,4.393016000000001,4.982940000000001,6.049501000000001,6.454325000000001,7.192843000000001
28-2805474,,,,,,,0,0.461487,1.0468359999999999,1.4960609999999999,1.715801,2.107514,2.989032,3.339647,3.7504899999999997,4.126414,4.7163379999999995,5.782899,6.187722999999999,6.926240999999999
29-2805475,,,,,,,,0,0.585349,1.034574,1.2543140000000002,1.6460270000000001,2.527545,2.87816,3.2890029999999997,3.6649269999999996,4.2548509999999995,5.321412,5.726235999999999,6.464753999999999
30-2803187,,,,,,,,,0,0.449225,0.668965,1.060678,1.942196,2.292811,2.703654,3.0795779999999997,3.6695019999999996,4.736063,5.140886999999999,5.879404999999999
31-2803763,,,,,,,,,,0,0.21974000000000002,0.611453,1.492971,1.8435860000000002,2.254429,2.630353,3.220277,4.2868379999999995,4.691661999999999,5.430179999999999
32-2806559,,,,,,,,,,,0,0.39171300000000003,1.273231,1.623846,2.0346889999999997,2.4106129999999997,3.0005369999999996,4.067098,4.471921999999999,5.210439999999999
33-2807429,,,,,,,,,,,,0,0.881518,1.2321330000000001,1.6429760000000002,2.0189000000000004,2.6088240000000003,3.6753850000000003,4.080209,4.818727
34-2805183,,,,,,,,,,,,,0,0.350615,0.761458,1.137382,1.727306,2.793867,3.198691,3.937209
35-2805459,,,,,,,,,,,,,,0,0.410843,0.786767,1.376691,2.443252,2.8480760000000003,3.5865940000000003
36-2806489,,,,,,,,,,,,,,,0,0.375924,0.965848,2.0324090000000004,2.4372330000000004,3.1757510000000004
37-2805460,,,,,,,,,,,,,,,,0,0.589924,1.656485,2.061309,2.799827
38-2805184,,,,,,,,,,,,,,,,,0,1.066561,1.4713850000000002,2.209903
39-2805185,,,,,,,,,,,,,,,,,,0,0.40482399999999996,1.143342
40-2807473,,,,,,,,,,,,,,,,,,,0,0.738518
41-2807475,,,,,,,,,,,,,,,,,,,,0
