순번_정류장ID,1-2806577,2-2804581,3-2804582,4-2800267,5-2804730,6-2804102,7-2804104,8-2804106,9-2804108,10-2804110,11-2806326
1-2806577,0,0.301253,0.661441,1.724519,1.866133,2.090353,2.391358,3.053093,3.28367,4.069917,4.574833
2-2804581,,0,0.360188,1.423266,1.56488,1.7891,2.090105,2.75184,2.982417,3.768664,4.27358
3-2804582,,,0,1.063078,1.204692,1.428912,1.729917,2.391652,2.622229,3.408476,3.913392
4-2800267,,,,0,0.14161400000000002,0.365834,0.666839,1.3285740000000001,1.5591510000000002,2.3453980000000003,2.8503140000000005
5-2804730,,,,,0,0.22421999999999997,0.525225,1.18696,1.417537,2.203784,2.7087000000000003
6-2804102,,,,,,0,0.301005,0.9627400000000002,1.1933170000000002,1.9795640000000003,2.4844800000000005
7-2804104,,,,,,,0,0.6617350000000001,0.8923120000000001,1.6785590000000001,2.183475
8-2804106,,,,,,,,0,0.230577,1.016824,1.5217399999999999
9-2804108,,,,,,,,,0,0.786247,1.291163
10-2804110,,,,,,,,,,0,0.504916
11-2806326,,,,,,,,,,,0
