순번_정류장ID,39-2801030,40-2801037,41-2801024,42-2801015,43-2801008,44-2801000,45-2800986,46-2800980,47-2800988,48-2800971,49-2800841,50-2800964,51-2800978,52-2801005,53-2801022,54-2801038,55-2801048,56-2801103,57-2801110,58-2801125,59-2801126,60-2801124,61-2801111,62-2801090,63-2801088,64-2801093,65-2801108,66-2800887,67-2801130,68-2801134,69-2801143,70-2801152,71-2805018,72-2805405
39-2801030,0,0.286055,0.5941,0.802654,1.036103,1.16516,1.30381,1.5843239999999998,1.923625,2.375671,2.956751,3.1540980000000003,3.5912100000000002,3.858026,4.157237,4.429582,4.619277,5.507448,5.6412770000000005,6.094329000000001,6.294508000000001,6.499150000000001,6.787376000000001,7.076580000000001,7.341785000000001,7.4773190000000005,7.803668,8.131641,8.455556,8.722911999999999,9.139420999999999,9.502906,10.168607,10.476455
40-2801037,,0,0.30804499999999996,0.5165989999999999,0.7500479999999999,0.8791049999999999,1.017755,1.298269,1.63757,2.089616,2.670696,2.868043,3.305155,3.571971,3.871182,4.143527,4.333222,5.221393,5.355222,5.808274000000001,6.008453000000001,6.213095000000001,6.501321000000001,6.790525000000001,7.0557300000000005,7.191264,7.517613000000001,7.845586000000001,8.169501,8.436857,8.853366,9.216851,9.882552,10.1904
41-2801024,,,0,0.208554,0.442003,0.57106,0.7097100000000001,0.990224,1.329525,1.781571,2.362651,2.559998,2.99711,3.263926,3.563137,3.8354820000000003,4.025177,4.913348,5.0471770000000005,5.500229000000001,5.700408000000001,5.905050000000001,6.193276000000001,6.482480000000001,6.747685000000001,6.883219,7.209568000000001,7.537541000000001,7.861456000000001,8.128812000000002,8.545321000000001,8.908806000000002,9.574507000000002,9.882355000000002
42-2801015,,,,0,0.233449,0.362506,0.5011559999999999,0.7816699999999999,1.120971,1.5730169999999999,2.154097,2.3514440000000003,2.7885560000000003,3.055372,3.3545830000000003,3.6269280000000004,3.8166230000000003,4.704794000000001,4.838623000000001,5.2916750000000015,5.491854000000002,5.696496000000002,5.984722000000001,6.273926000000001,6.539131000000001,6.674665000000001,7.001014000000001,7.3289870000000015,7.652902000000002,7.920258000000002,8.336767000000002,8.700252000000003,9.365953000000003,9.673801000000003
43-2801008,,,,,0,0.129057,0.26770700000000003,0.5482210000000001,0.8875220000000001,1.339568,1.9206480000000001,2.117995,2.555107,2.821923,3.121134,3.393479,3.583174,4.471345,4.605174000000001,5.058226000000001,5.2584050000000016,5.463047000000001,5.751273000000001,6.040477000000001,6.305682000000001,6.441216000000001,6.767565000000001,7.095538000000001,7.419453000000002,7.686809000000002,8.103318000000002,8.466803000000002,9.132504000000003,9.440352000000003
44-2801000,,,,,,0,0.13865,0.419164,0.758465,1.210511,1.791591,1.9889379999999999,2.42605,2.692866,2.992077,3.264422,3.454117,4.342288,4.476117,4.929169000000001,5.129348000000001,5.333990000000001,5.622216000000001,5.911420000000001,6.1766250000000005,6.312159,6.638508,6.966481,7.290396,7.557752000000001,7.974261,8.337746000000001,9.003447000000001,9.311295000000001
45-2800986,,,,,,,0,0.280514,0.619815,1.071861,1.652941,1.850288,2.2874,2.554216,2.853427,3.125772,3.315467,4.203638,4.337467,4.790519000000001,4.990698000000001,5.195340000000001,5.483566000000001,5.77277,6.037975,6.173509,6.499858,6.827831,7.151746,7.4191020000000005,7.835611,8.199096,8.864797000000001,9.172645000000001
46-2800980,,,,,,,,0,0.339301,0.791347,1.372427,1.569774,2.006886,2.273702,2.5729130000000002,2.8452580000000003,3.0349530000000002,3.923124,4.056953,4.5100050000000005,4.710184000000001,4.914826000000001,5.2030520000000005,5.492256,5.757461,5.892995,6.2193439999999995,6.547317,6.871232,7.138588,7.555097,7.918582,8.584283,8.892131
47-2800988,,,,,,,,,0,0.452046,1.033126,1.230473,1.6675849999999999,1.9344009999999998,2.233612,2.505957,2.695652,3.5838229999999998,3.7176519999999997,4.170704,4.370883,4.575525,4.863751,5.1529549999999995,5.418159999999999,5.553693999999999,5.880042999999999,6.208015999999999,6.531930999999999,6.799287,7.215795999999999,7.579280999999999,8.244981999999998,8.552829999999998
48-2800971,,,,,,,,,,0,0.58108,0.778427,1.215539,1.4823549999999999,1.7815659999999998,2.053911,2.2436059999999998,3.1317769999999996,3.2656059999999996,3.7186579999999996,3.9188369999999995,4.123479,4.4117049999999995,4.700908999999999,4.966113999999999,5.101647999999999,5.4279969999999995,5.75597,6.079885,6.347241,6.76375,7.127235,7.792936,8.100784
