순번_정류장ID,18-2805356,19-2805354,20-2805359,21-2805361,22-2805363,23-2805365,24-2805364,25-2805362,26-2805360,27-2805344,28-2800898,29-2805292,30-2805297,31-2800872
18-2805356,0,1.936695,2.0396900000000002,2.133795,2.268343,2.4242250000000003,2.521853,2.624915,3.8954630000000003,4.2545470000000005,4.733341,5.703559,6.012311,6.311721
19-2805354,,0,0.102995,0.1971,0.331648,0.48753,0.5851580000000001,0.68822,1.958768,2.3178520000000002,2.796646,3.766864,4.075616,4.375026
20-2805359,,,0,0.094105,0.228653,0.38453499999999996,0.48216299999999995,0.5852249999999999,1.855773,2.214857,2.693651,3.663869,3.972621,4.272031
21-2805361,,,,0,0.134548,0.29042999999999997,0.38805799999999996,0.49111999999999995,1.761668,2.120752,2.599546,3.569764,3.8785160000000003,4.177926
22-2805363,,,,,0,0.155882,0.25351,0.356572,1.6271200000000001,1.986204,2.464998,3.435216,3.743968,4.043378000000001
23-2805365,,,,,,0,0.09762799999999999,0.20068999999999998,1.471238,1.830322,2.309116,3.279334,3.588086,3.887496
24-2805364,,,,,,,0,0.10306199999999999,1.37361,1.732694,2.211488,3.181706,3.4904580000000003,3.7898680000000002
25-2805362,,,,,,,,0,1.270548,1.629632,2.1084259999999997,3.0786439999999997,3.387396,3.686806
26-2805360,,,,,,,,,0,0.359084,0.8378779999999999,1.808096,2.116848,2.416258
27-2805344,,,,,,,,,,0,0.47879399999999994,1.449012,1.7577639999999999,2.057174
28-2800898,,,,,,,,,,,0,0.970218,1.27897,1.57838
29-2805292,,,,,,,,,,,,0,0.30875199999999997,0.608162
30-2805297,,,,,,,,,,,,,0,0.29941
31-2800872,,,,,,,,,,,,,,0
