순번_정류장ID,49-2805832,50-2803179,51-2807599,52-2802587,53-2802565,54-2802511,55-2802435,56-2802398,57-2804816,58-2802185,59-2802169,60-2801846,61-2802103,62-2801847,63-2801952,64-2801805,65-2803543
49-2805832,0,4.2546230000000005,23.00884,23.937502,25.194271999999998,25.921839,27.034048,27.984758,28.96366,29.608173,30.431708,30.733119000000002,31.479397000000002,32.284416,32.796425,33.372847,34.024822
50-2803179,,0,18.754217,19.682879,20.939649,21.667216,22.779425,23.730135,24.709037000000002,25.353550000000002,26.177085,26.478496000000003,27.224774000000004,28.029793000000005,28.541802000000004,29.118224000000005,29.770199000000005
51-2807599,,,0,0.9286620000000001,2.1854320000000005,2.9129990000000006,4.025208000000001,4.975918000000001,5.954820000000001,6.599333000000001,7.422868,7.724279,8.470557,9.275576,9.787585,10.364007,11.015982000000001
52-2802587,,,,0,1.2567700000000002,1.984337,3.096546,4.047256,5.026158,5.670671,6.494205999999999,6.795616999999999,7.541894999999999,8.346914,8.858923,9.435345000000002,10.087320000000002
53-2802565,,,,,0,0.727567,1.839776,2.790486,3.769388,4.413901,5.237436,5.538847,6.285125,7.090144,7.6021529999999995,8.178574999999999,8.830549999999999
54-2802511,,,,,,0,1.112209,2.062919,3.041821,3.686334,4.509869,4.81128,5.557558,6.362577,6.874586,7.451008,8.102983
55-2802435,,,,,,,0,0.95071,1.929612,2.574125,3.39766,3.699071,4.445349,5.250368,5.762377,6.338799,6.990774
56-2802398,,,,,,,,0,0.978902,1.623415,2.44695,2.748361,3.4946390000000003,4.299658,4.811667,5.388089,6.040064
57-2804816,,,,,,,,,0,0.644513,1.468048,1.7694590000000001,2.515737,3.3207560000000003,3.832765,4.409187,5.061162
58-2802185,,,,,,,,,,0,0.823535,1.124946,1.871224,2.676243,3.188252,3.764674,4.416649
59-2802169,,,,,,,,,,,0,0.30141100000000004,1.047689,1.852708,2.364717,2.941139,3.593114
60-2801846,,,,,,,,,,,,0,0.746278,1.551297,2.063306,2.639728,3.291703
61-2802103,,,,,,,,,,,,,0,0.8050189999999999,1.317028,1.89345,2.545425
62-2801847,,,,,,,,,,,,,,0,0.512009,1.088431,1.740406
63-2801952,,,,,,,,,,,,,,,0,0.576422,1.228397
64-2801805,,,,,,,,,,,,,,,,0,0.651975
65-2803543,,,,,,,,,,,,,,,,,0
