순번_정류장ID,1-2807441,2-2806808,3-2806914,4-2802920,5-2807167,6-2802898,7-2802895,8-2802894,9-2802887,10-2802862,11-2802803,12-2802774,13-2802760,14-2802617,15-2802733,16-2807110
1-2807441,0,0.393687,0.6467780000000001,0.9591050000000001,1.5846840000000002,2.008699,2.277121,2.595692,2.907155,3.305488,3.692312,4.101495,4.345419,4.738515,5.266717,5.690167
2-2806808,,0,0.253091,0.565418,1.1909969999999999,1.615012,1.8834339999999998,2.2020049999999998,2.5134679999999996,2.9118009999999996,3.2986249999999995,3.7078079999999995,3.9517319999999994,4.344828,4.87303,5.29648
3-2806914,,,0,0.312327,0.937906,1.361921,1.6303429999999999,1.9489139999999998,2.2603769999999996,2.6587099999999997,3.0455339999999995,3.4547169999999996,3.6986409999999994,4.091736999999999,4.619939,5.0433889999999995
4-2802920,,,,0,0.625579,1.049594,1.3180159999999999,1.6365869999999998,1.9480499999999998,2.346383,2.7332069999999997,3.14239,3.3863139999999996,3.7794099999999995,4.307612,4.731062
5-2807167,,,,,0,0.424015,0.692437,1.011008,1.322471,1.720804,2.107628,2.516811,2.760735,3.153831,3.6820329999999997,4.1054829999999995
6-2802898,,,,,,0,0.268422,0.586993,0.8984559999999999,1.296789,1.683613,2.092796,2.3367199999999997,2.7298159999999996,3.258018,3.6814679999999997
7-2802895,,,,,,,0,0.318571,0.630034,1.028367,1.415191,1.8243740000000002,2.068298,2.461394,2.9895959999999997,3.4130459999999996
8-2802894,,,,,,,,0,0.311463,0.709796,1.09662,1.505803,1.749727,2.142823,2.671025,3.094475
9-2802887,,,,,,,,,0,0.398333,0.785157,1.19434,1.438264,1.83136,2.3595620000000004,2.7830120000000003
10-2802862,,,,,,,,,,0,0.386824,0.796007,1.039931,1.433027,1.9612290000000001,2.384679
11-2802803,,,,,,,,,,,0,0.409183,0.653107,1.046203,1.574405,1.997855
12-2802774,,,,,,,,,,,,0,0.24392399999999997,0.6370199999999999,1.165222,1.5886719999999999
13-2802760,,,,,,,,,,,,,0,0.393096,0.9212980000000001,1.344748
14-2802617,,,,,,,,,,,,,,0,0.5282020000000001,0.951652
15-2802733,,,,,,,,,,,,,,,0,0.42345
16-2807110,,,,,,,,,,,,,,,,0
