순번_정류장ID,1-2807226,2-2806618,3-2807497,4-2807227,5-2807553,6-2807546,7-2807542,8-2807517,9-2807514,10-2807503,11-2807224
1-2807226,0,16.554225,20.261481999999997,46.031389999999995,51.787817999999994,53.91517699999999,57.94006099999999,60.71270499999999,64.37312899999999,66.82533699999999,68.03975299999999
2-2806618,,0,3.707257,29.477164999999996,35.233593,37.360952,41.385836,44.15848,47.818903999999996,50.271111999999995,51.485527999999995
3-2807497,,,0,25.769907999999997,31.526335999999997,33.653695,37.678579,40.451223,44.111647,46.563855,47.778271
4-2807227,,,,0,5.756428,7.883787,11.908670999999998,14.681314999999998,18.341738999999997,20.793946999999996,22.008362999999996
5-2807553,,,,,0,2.127359,6.1522429999999995,8.924886999999998,12.585310999999997,15.037518999999998,16.251934999999996
6-2807546,,,,,,0,4.024883999999999,6.797527999999999,10.457951999999999,12.91016,14.124576
7-2807542,,,,,,,0,2.7726439999999997,6.433068,8.885276,10.099692
8-2807517,,,,,,,,0,3.660424,6.112632,7.327048
9-2807514,,,,,,,,,0,2.452208,3.666624
10-2807503,,,,,,,,,,0,1.214416
11-2807224,,,,,,,,,,,0
