순번_정류장ID,1-2806577,2-2804581,3-2804582,4-2800267,5-2804730,6-2804102,7-2804104,8-2804106,9-2804108,10-2804110,11-2806326
1-2806577,0,0.570645,0.871898,1.232086,2.2951639999999998,2.436778,2.6609979999999998,2.9620029999999997,3.623738,3.8543149999999997,4.640562
2-2804581,,0,0.301253,0.661441,1.724519,1.866133,2.090353,2.391358,3.053093,3.28367,4.069917
3-2804582,,,0,0.360188,1.423266,1.56488,1.7891,2.090105,2.75184,2.982417,3.768664
4-2800267,,,,0,1.063078,1.204692,1.428912,1.729917,2.391652,2.622229,3.408476
5-2804730,,,,,0,0.14161400000000002,0.365834,0.666839,1.3285740000000001,1.5591510000000002,2.3453980000000003
6-2804102,,,,,,0,0.22421999999999997,0.525225,1.18696,1.417537,2.203784
7-2804104,,,,,,,0,0.301005,0.9627400000000002,1.1933170000000002,1.9795640000000003
8-2804106,,,,,,,,0,0.6617350000000001,0.8923120000000001,1.6785590000000001
9-2804108,,,,,,,,,0,0.230577,1.016824
10-2804110,,,,,,,,,,0,0.786247
11-2806326,,,,,,,,,,,0
