순번_정류장ID,1-2806122,2-2806433,3-2806434,4-2806435,5-2806436,6-2806437,7-2806438,8-2806439,9-2806440,10-2806441,11-2806442,12-2806443,13-2806444,14-2806445,15-2806446,16-2806447
1-2806122,0,2.3771459999999998,2.6653189999999998,3.348033,4.391711,4.607588,4.8296,5.83875,6.2267030000000005,6.6394470000000005,7.420667000000001,8.187844,8.637422,8.844990000000001,9.261663,9.753575
2-2806433,,0,0.288173,0.9708870000000001,2.014565,2.230442,2.452454,3.461604,3.849557,4.262301,5.043521,5.810698,6.260276,6.467844,6.884517000000001,7.376429000000001
3-2806434,,,0,0.682714,1.7263920000000001,1.942269,2.164281,3.173431,3.561384,3.974128,4.755348,5.522525,5.972103,6.179671,6.596344,7.088256
4-2806435,,,,0,1.043678,1.2595550000000002,1.481567,2.490717,2.87867,3.291414,4.072634,4.839811,5.289389,5.496957,5.91363,6.4055420000000005
5-2806436,,,,,0,0.21587699999999999,0.437889,1.447039,1.834992,2.2477359999999997,3.028956,3.796133,4.245711,4.453279,4.8699520000000005,5.361864000000001
6-2806437,,,,,,0,0.222012,1.2311619999999999,1.6191149999999999,2.031859,2.813079,3.5802560000000003,4.029834,4.237402,4.654075000000001,5.145987000000001
7-2806438,,,,,,,0,1.00915,1.397103,1.809847,2.591067,3.358244,3.807822,4.01539,4.432063,4.923975
8-2806439,,,,,,,,0,0.387953,0.800697,1.581917,2.349094,2.798672,3.00624,3.422913,3.914825
9-2806440,,,,,,,,,0,0.41274399999999994,1.193964,1.961141,2.410719,2.6182869999999996,3.0349599999999994,3.5268719999999996
10-2806441,,,,,,,,,,0,0.78122,1.548397,1.997975,2.205543,2.622216,3.114128
11-2806442,,,,,,,,,,,0,0.767177,1.216755,1.424323,1.840996,2.332908
12-2806443,,,,,,,,,,,,0,0.449578,0.657146,1.0738189999999999,1.565731
13-2806444,,,,,,,,,,,,,0,0.20756799999999997,0.6242409999999999,1.116153
14-2806445,,,,,,,,,,,,,,0,0.41667299999999996,0.908585
15-2806446,,,,,,,,,,,,,,,0,0.491912
16-2806447,,,,,,,,,,,,,,,,0
