순번_정류장ID,16-2805166,17-2805164,18-2805162,19-2805158,20-2803416,21-2807467,22-2807468,23-2806215,24-2800622,25-2800336,26-2800670,27-2800695
16-2805166,0,0.372212,1.397216,2.6765730000000003,5.061052,10.826,15.866719,25.27893,26.39512,27.185169,27.707189999999997,28.572310999999996
17-2805164,,0,1.025004,2.304361,4.688840000000001,10.453788000000001,15.494507000000002,24.906718,26.022908,26.812957,27.334978,28.200098999999998
18-2805162,,,0,1.279357,3.6638360000000003,9.428784,14.469503,23.881714,24.997904,25.787952999999998,26.309973999999997,27.175094999999995
19-2805158,,,,0,2.3844790000000002,8.149427000000001,13.190146000000002,22.602357,23.718547,24.508596,25.030617,25.895737999999998
20-2803416,,,,,0,5.764948,10.805667,20.217878,21.334068,22.124117,22.646137999999997,23.511258999999995
21-2807467,,,,,,0,5.040719,14.452929999999999,15.569119999999998,16.359168999999998,16.881189999999997,17.746310999999995
22-2807468,,,,,,,0,9.412211,10.528400999999999,11.318449999999999,11.840470999999999,12.705592
23-2806215,,,,,,,,0,1.11619,1.906239,2.42826,3.2933809999999997
24-2800622,,,,,,,,,0,0.790049,1.3120699999999998,2.1771909999999997
25-2800336,,,,,,,,,,0,0.522021,1.3871419999999999
26-2800670,,,,,,,,,,,0,0.8651209999999999
27-2800695,,,,,,,,,,,,0
