순번_정류장ID,1-2806962,2-2807131,3-2807129,4-2807127,5-2806963,6-2807124,7-2806986,8-2807294,9-2807295,10-2807411,11-2807002,12-2806989,13-2806991,14-2807000,15-2806992,16-2806993,17-2806995,18-2806997,19-2806998,20-2806999,21-2807001,22-2807002,23-2806989,24-2807296,25-2807412,26-2807297,27-2807298,28-2806964,29-2806987,30-2806965,31-2806966,32-2806967,33-2806968,34-2806969,35-2806970,36-2807408,37-2806971,38-2807122,39-2807113,40-2807410,41-2807114,42-2806973,43-2807115,44-2806952,45-2807116,46-2807117,47-2807120,48-2806975,49-2806976,50-2806977,51-2807136,52-2806955,53-2806956,54-2806945,55-2807161,56-2807162,57-2807163,58-2806957,59-2807146,60-2807164,61-2807159,62-2807160,63-2807158,64-2807165,65-2807133,66-2806958,67-2806959,68-2806978,69-2806960,70-2806961,1-2807226,2-2806618,3-2807497,4-2807227,5-2807553,6-2807546,7-2807542,8-2807517,9-2807514,10-2807503,11-2807224
1-2806962,0,0.802024,1.513896,2.1227489999999998,3.1030209999999996,3.1990129999999994,3.6866929999999996,4.097347999999999,6.2467369999999995,6.709025,7.656264999999999,9.130526,9.56889,10.076578,10.462036,11.881086999999999,13.301967999999999,13.694714999999999,14.206483999999998,14.648162999999998,15.136024999999998,16.083264999999997,17.127255999999996,17.582041999999994,19.685997999999994,20.098927999999994,20.611714999999993,20.976697999999992,21.660866999999993,21.88360399999999,22.433444999999992,22.683203999999993,23.032421999999993,23.348050999999995,23.956764999999994,24.702460999999992,25.288455999999993,25.418419999999994,25.896770999999994,26.399789999999992,27.046666999999992,28.17588899999999,28.41337299999999,28.83032199999999,29.08143599999999,29.94822799999999,30.49374399999999,31.85225299999999,32.15324699999999,32.457891,32.70293899999999,33.08156199999999,33.12808299999999,33.40054999999999,33.88328499999999,34.37935799999999,34.85796099999999,36.07929799999999,37.35174699999999,37.83752099999999,38.32662899999999,38.80975099999999,39.082083999999995,39.374492,39.718312,40.082086999999994,40.38302399999999,40.72699699999999,42.02369199999999,43.05946299999999,59.61368799999998,63.32094499999998,89.09085299999998,94.84728099999998,96.97463999999998,100.99952399999998,103.77216799999998,107.43259199999999,109.88479999999998,111.09921599999998,113.34237299999998
2-2807131,,0,0.7118720000000001,1.320725,2.3009969999999997,2.3969889999999996,2.8846689999999997,3.295324,5.444713,5.907001,6.854241,8.328502,8.766866,9.274554,9.660012,11.079063,12.499944,12.892691,13.404459999999998,13.846138999999999,14.334000999999999,15.281241,16.325232,16.780018,18.883974,19.296903999999998,19.809690999999997,20.174673999999996,20.858842999999997,21.081579999999995,21.631420999999996,21.881179999999997,22.230397999999997,22.546027,23.154740999999998,23.900436999999997,24.486431999999997,24.616395999999998,25.094746999999998,25.597765999999996,26.244642999999996,27.373864999999995,27.611348999999993,28.028297999999992,28.279411999999994,29.146203999999994,29.691719999999993,31.050228999999995,31.351222999999994,31.655866999999994,31.900914999999994,32.279537999999995,32.326058999999994,32.59852599999999,33.08126099999999,33.57733399999999,34.05593699999999,35.27727399999999,36.54972299999999,37.03549699999999,37.524604999999994,38.007726999999996,38.28006,38.572468,38.916288,39.280063,39.580999999999996,39.924972999999994,41.221667999999994,42.25743899999999,58.81166399999999,62.51892099999999,88.28882899999999,94.04525699999999,96.17261599999999,100.19749999999999,102.97014399999999,106.630568,109.082776,110.297192,112.54034899999999
3-2807129,,,0,0.608853,1.589125,1.685117,2.172797,2.5834520000000003,4.7328410000000005,5.1951290000000006,6.142369,7.616630000000001,8.054994,8.562682,8.94814,10.367191,11.788072,12.180819,12.692587999999999,13.134267,13.622129,14.569369,15.61336,16.068146,18.172102,18.585031999999998,19.097818999999998,19.462801999999996,20.146970999999997,20.369707999999996,20.919548999999996,21.169307999999997,21.518525999999998,21.834155,22.442868999999998,23.188564999999997,23.774559999999997,23.904524,24.382875,24.885893999999997,25.532770999999997,26.661992999999995,26.899476999999994,27.316425999999993,27.567539999999994,28.434331999999994,28.979847999999993,30.338356999999995,30.639350999999994,30.943994999999994,31.189042999999995,31.567665999999996,31.614186999999994,31.886653999999993,32.36938899999999,32.865461999999994,33.34406499999999,34.56540199999999,35.83785099999999,36.32362499999999,36.812732999999994,37.295854999999996,37.568188,37.860596,38.204416,38.568191,38.869127999999996,39.213100999999995,40.509795999999994,41.54556699999999,58.099791999999994,61.80704899999999,87.576957,93.33338499999999,95.46074399999999,99.48562799999999,102.25827199999999,105.918696,108.370904,109.58532,111.82847699999999
4-2807127,,,,0,0.9802719999999999,1.0762639999999999,1.5639439999999998,1.9745989999999998,4.123988,4.586276,5.533516,7.007777,7.446141,7.953829,8.339287,9.758338,11.179219,11.571966,12.083734999999999,12.525414,13.013276,13.960516,15.004507,15.459293,17.563249,17.976179,18.488965999999998,18.853948999999997,19.538117999999997,19.760854999999996,20.310695999999997,20.560454999999997,20.909672999999998,21.225302,21.834016,22.579711999999997,23.165706999999998,23.295671,23.774022,24.277040999999997,24.923917999999997,26.053139999999996,26.290623999999994,26.707572999999993,26.958686999999994,27.825478999999994,28.370994999999994,29.729503999999995,30.030497999999994,30.335141999999994,30.580189999999995,30.958812999999996,31.005333999999994,31.277800999999993,31.760535999999995,32.256609,32.735212,33.956548999999995,35.228998,35.714771999999996,36.20388,36.687002,36.959335,37.251743000000005,37.595563000000006,37.959338,38.260275,38.604248,39.900943,40.936713999999995,57.490939,61.198195999999996,86.968104,92.724532,94.851891,98.876775,101.649419,105.309843,107.762051,108.976467,111.219624
5-2806963,,,,,0,0.095992,0.583672,0.994327,3.1437159999999995,3.6060039999999995,4.553243999999999,6.027505,6.465869,6.973557,7.359014999999999,8.778065999999999,10.198946999999999,10.591693999999999,11.103462999999998,11.545141999999998,12.033003999999998,12.980243999999999,14.024235,14.479021,16.582977,16.995907,17.508694,17.873676999999997,18.557845999999998,18.780582999999996,19.330423999999997,19.580182999999998,19.929401,20.24503,20.853744,21.599439999999998,22.185435,22.315399,22.79375,23.296768999999998,23.943645999999998,25.072867999999996,25.310351999999995,25.727300999999994,25.978414999999995,26.845206999999995,27.390722999999994,28.749231999999996,29.050225999999995,29.354869999999995,29.599917999999995,29.978540999999996,30.025061999999995,30.297528999999994,30.780263999999995,31.276336999999995,31.754939999999994,32.976276999999996,34.248726,34.7345,35.223608,35.70673,35.979063000000004,36.271471000000005,36.615291000000006,36.979066,37.280003,37.623976,38.920671,39.956441999999996,56.510667,60.217924,85.987832,91.74426,93.871619,97.896503,100.669147,104.329571,106.781779,107.996195,110.239352
6-2807124,,,,,,0,0.48768,0.898335,3.0477239999999997,3.5100119999999997,4.4572519999999995,5.931513,6.369877,6.877565,7.263023,8.682074,10.102955,10.495702,11.007470999999999,11.44915,11.937012,12.884252,13.928243,14.383029,16.486985,16.899915,17.412702,17.777684999999998,18.461854,18.684590999999998,19.234431999999998,19.484191,19.833409,20.149038,20.757752,21.503448,22.089443,22.219407,22.697758,23.200777,23.847654,24.976875999999997,25.214359999999996,25.631308999999995,25.882422999999996,26.749214999999996,27.294730999999995,28.653239999999997,28.954233999999996,29.258877999999996,29.503925999999996,29.882548999999997,29.929069999999996,30.201536999999995,30.684271999999996,31.180344999999996,31.658947999999995,32.88028499999999,34.152733999999995,34.638507999999995,35.127615999999996,35.610738,35.883071,36.175479,36.519299000000004,36.883074,37.184011,37.527984,38.824678999999996,39.86044999999999,56.41467499999999,60.12193199999999,85.89183999999999,91.64826799999999,93.77562699999999,97.80051099999999,100.57315499999999,104.23357899999999,106.68578699999999,107.90020299999999,110.14335999999999
7-2806986,,,,,,,0,0.410655,2.5600439999999995,3.0223319999999996,3.9695719999999994,5.443833,5.882197,6.389885,6.7753429999999994,8.194393999999999,9.615274999999999,10.008021999999999,10.519790999999998,10.961469999999998,11.449331999999998,12.396571999999999,13.440563,13.895349,15.999305,16.412235,16.925022,17.290004999999997,17.974173999999998,18.196910999999997,18.746751999999997,18.996510999999998,19.345729,19.661358,20.270072,21.015767999999998,21.601763,21.731727,22.210078,22.713096999999998,23.359973999999998,24.489195999999996,24.726679999999995,25.143628999999994,25.394742999999995,26.261534999999995,26.807050999999994,28.165559999999996,28.466553999999995,28.771197999999995,29.016245999999995,29.394868999999996,29.441389999999995,29.713856999999994,30.196591999999995,30.692664999999995,31.171267999999994,32.392604999999996,33.665054,34.150828,34.639936,35.123058,35.395391000000004,35.687799000000005,36.031619000000006,36.395394,36.696331,37.040304,38.336999,39.372769999999996,55.92699499999999,59.63425199999999,85.40415999999999,91.16058799999999,93.28794699999999,97.31283099999999,100.08547499999999,103.745899,106.198107,107.412523,109.65567999999999
8-2807294,,,,,,,,0,2.1493889999999998,2.611677,3.5589169999999997,5.0331779999999995,5.4715419999999995,5.979229999999999,6.364687999999999,7.783738999999999,9.204619999999998,9.597366999999998,10.109135999999998,10.550814999999998,11.038676999999998,11.985916999999999,13.029907999999999,13.484694,15.58865,16.00158,16.514367,16.87935,17.563519,17.786255999999998,18.336097,18.585856,18.935074,19.250703,19.859417,20.605113,21.191108,21.321072,21.799423,22.302442,22.949319,24.078540999999998,24.316024999999996,24.732973999999995,24.984087999999996,25.850879999999997,26.396395999999996,27.754904999999997,28.055898999999997,28.360542999999996,28.605590999999997,28.984213999999998,29.030734999999996,29.303201999999995,29.785936999999997,30.282009999999996,30.760612999999996,31.981949999999998,33.254399,33.740173,34.229281,34.712403,34.984736000000005,35.27714400000001,35.62096400000001,35.984739000000005,36.285676,36.629649,37.926344,38.962115,55.51634,59.223597,84.993505,90.749933,92.877292,96.902176,99.67482,103.335244,105.787452,107.001868,109.245025
9-2807295,,,,,,,,,0,0.46228800000000003,1.409528,2.883789,3.322153,3.829841,4.215299,5.6343499999999995,7.055230999999999,7.447977999999999,7.959746999999999,8.401425999999999,8.889287999999999,9.836528,10.880519,11.335305,13.439261,13.852191,14.364977999999999,14.729961,15.41413,15.636867,16.186708,16.436467,16.785685,17.101314000000002,17.710028,18.455724,19.041719,19.171683,19.650034,20.153053,20.79993,21.929152,22.166635999999997,22.583584999999996,22.834698999999997,23.701490999999997,24.247006999999996,25.605515999999998,25.906509999999997,26.211153999999997,26.456201999999998,26.834825,26.881345999999997,27.153812999999996,27.636547999999998,28.132620999999997,28.611223999999996,29.832561,31.10501,31.590784,32.079892,32.563014,32.835347000000006,33.12775500000001,33.47157500000001,33.835350000000005,34.136287,34.48026,35.776955,36.812726,53.366951,57.074208,82.844116,88.600544,90.727903,94.752787,97.525431,101.185855,103.638063,104.852479,107.095636
10-2807411,,,,,,,,,,0,0.94724,2.421501,2.859865,3.367553,3.753011,5.172062,6.592943,6.98569,7.497459,7.939138,8.427,9.37424,10.418231,10.873017,12.976973000000001,13.389903,13.90269,14.267673,14.951842000000001,15.174579000000001,15.724420000000002,15.974179000000001,16.323397,16.639026,17.24774,17.993436,18.579431,18.709395,19.187746,19.690765,20.337642,21.466863999999998,21.704347999999996,22.121296999999995,22.372410999999996,23.239202999999996,23.784718999999996,25.143227999999997,25.444221999999996,25.748865999999996,25.993913999999997,26.372536999999998,26.419057999999996,26.691524999999995,27.174259999999997,27.670332999999996,28.148935999999996,29.370272999999997,30.642722,31.128496,31.617604,32.100726,32.373059000000005,32.66546700000001,33.00928700000001,33.373062000000004,33.673999,34.017972,35.314667,36.350438,52.904663,56.61192,82.381828,88.138256,90.265615,94.290499,97.063143,100.723567,103.175775,104.390191,106.633348
