순번_정류장ID,37-2806578,38-2805419,39-2805722,40-2805399,41-2806080,42-2804477,43-2804478,44-2800034,45-2800047,46-2804479,47-2804480,48-2804481,49-2805071,50-2803585,51-2803586,52-2800056,53-2800057,54-2800006,55-2800299,56-2804058,57-2800295,58-2804482,59-2800300,60-2805078,61-2800297,62-2803996,63-2803994,64-2803992,65-2806003,66-2803990,67-2803981,68-2806017,69-2803980,70-2805721,71-2805719,72-2803976,73-2803974
37-2806578,0,0.42364700000000005,0.933157,1.394139,1.641794,1.8303719999999999,2.452058,4.632474,4.990775,5.298084,5.689768,5.994479,6.258726,7.155858,7.88983,8.47751,9.412911000000001,11.458759,12.253067000000001,13.942597000000001,14.328731000000001,14.848684,15.431214,16.155033,16.303273,16.607406,17.013598,17.468359000000003,18.223962000000004,20.245402000000006,20.938924000000007,21.69912100000001,21.799748000000008,22.002844000000007,22.324934000000006,22.967659000000005,23.402095000000006
38-2805419,,0,0.50951,0.9704919999999999,1.2181469999999999,1.4067249999999998,2.0284109999999997,4.208826999999999,4.567127999999999,4.8744369999999995,5.266120999999999,5.570831999999999,5.8350789999999995,6.7322109999999995,7.466182999999999,8.053863,8.989264,11.035112,11.829419999999999,13.518949999999998,13.905083999999999,14.425036999999998,15.007566999999998,15.731385999999999,15.879625999999998,16.183759,16.589951,17.044712,17.800315,19.821755000000003,20.515277000000005,21.275474000000006,21.376101000000006,21.579197000000004,21.901287000000004,22.544012000000002,22.978448000000004
39-2805722,,,0,0.46098199999999995,0.708637,0.897215,1.518901,3.699317,4.057618000000001,4.364927000000001,4.756611,5.0613220000000005,5.325569000000001,6.222701000000001,6.956673,7.544353,8.479754,10.525602,11.31991,13.00944,13.395574,13.915526999999999,14.498057,15.221876,15.370116,15.674249,16.080441,16.535202,17.290805000000002,19.312245000000004,20.005767000000006,20.765964000000007,20.866591000000007,21.069687000000005,21.391777000000005,22.034502000000003,22.468938000000005
40-2805399,,,,0,0.24765500000000001,0.436233,1.057919,3.238335,3.596636,3.903945,4.295629,4.60034,4.864587,5.761719,6.495691000000001,7.0833710000000005,8.018772,10.06462,10.858927999999999,12.548457999999998,12.934591999999999,13.454544999999998,14.037074999999998,14.760893999999999,14.909133999999998,15.213266999999998,15.619458999999999,16.07422,16.829823,18.851263000000003,19.544785000000005,20.304982000000006,20.405609000000005,20.608705000000004,20.930795000000003,21.573520000000002,22.007956000000004
41-2806080,,,,,0,0.188578,0.810264,2.9906800000000002,3.348981,3.6562900000000003,4.047974,4.352685,4.616932,5.514064,6.248036000000001,6.835716000000001,7.771117,9.816965,10.611273,12.300803,12.686937,13.20689,13.78942,14.513239,14.661479,14.965612,15.371804000000001,15.826565,16.582168,18.603608,19.297130000000003,20.057327000000004,20.157954000000004,20.361050000000002,20.68314,21.325865,21.760301000000002
42-2804477,,,,,,0,0.621686,2.802102,3.160403,3.467712,3.8593960000000003,4.1641070000000004,4.428354000000001,5.325486000000001,6.059458000000001,6.647138000000001,7.582539000000001,9.628387,10.422695000000001,12.112225,12.498359,13.018312,13.600842,14.324661,14.472901,14.777034,15.183226000000001,15.637987,16.39359,18.41503,19.108552000000003,19.868749000000005,19.969376000000004,20.172472000000003,20.494562000000002,21.137287,21.571723000000002
43-2804478,,,,,,,0,2.180416,2.538717,2.846026,3.2377100000000003,3.5424210000000005,3.8066680000000006,4.7038,5.437772000000001,6.0254520000000005,6.960853,9.006701,9.801009,11.490539,11.876673,12.396626,12.979156,13.702975,13.851215,14.155348,14.56154,15.016301,15.771904000000001,17.793344,18.486866000000003,19.247063000000004,19.347690000000004,19.550786000000002,19.872876,20.515601,20.950037000000002
44-2800034,,,,,,,,0,0.35830100000000004,0.66561,1.0572940000000002,1.3620050000000001,1.626252,2.523384,3.257356,3.8450360000000003,4.780437,6.826285,7.620593,9.310123,9.696257000000001,10.21621,10.79874,11.522559000000001,11.670799,11.974932,12.381124000000002,12.835885000000001,13.591488000000002,15.612928000000002,16.30645,17.066647000000003,17.167274000000003,17.37037,17.69246,18.335185,18.769621
45-2800047,,,,,,,,,0,0.307309,0.698993,1.003704,1.2679509999999998,2.1650829999999996,2.8990549999999997,3.4867349999999995,4.422135999999999,6.4679839999999995,7.2622919999999995,8.951822,9.337956,9.857909,10.440439,11.164258,11.312498,11.616631,12.022823,12.477584,13.233187000000001,15.254627000000001,15.948149,16.708346000000002,16.808973,17.012069,17.334159,17.976884,18.41132
46-2804479,,,,,,,,,,0,0.39168400000000003,0.6963950000000001,0.960642,1.857774,2.591746,3.1794260000000003,4.114827,6.1606749999999995,6.9549829999999995,8.644513,9.030647,9.5506,10.13313,10.856949,11.005189,11.309322,11.715514,12.170275,12.925878,14.947318000000001,15.64084,16.401037000000002,16.501664,16.70476,17.02685,17.669575,18.104011
47-2804480,,,,,,,,,,,0,0.304711,0.568958,1.46609,2.200062,2.7877419999999997,3.723143,5.768991,6.563299,8.252829,8.638963,9.158916,9.741446,10.465265,10.613505,10.917638,11.323830000000001,11.778591,12.534194000000001,14.555634000000001,15.249156000000001,16.009353,16.10998,16.313076,16.635165999999998,17.277890999999997,17.712327
48-2804481,,,,,,,,,,,,0,0.26424699999999995,1.161379,1.895351,2.483031,3.418432,5.4642800000000005,6.2585880000000005,7.948118000000001,8.334252000000001,8.854205,9.436735,10.160554000000001,10.308794,10.612927,11.019119000000002,11.473880000000001,12.229483000000002,14.250923000000002,14.944445000000002,15.704642000000002,15.805269000000001,16.008365,16.330455,16.97318,17.407616
49-2805071,,,,,,,,,,,,,0,0.8971319999999999,1.631104,2.2187840000000003,3.1541850000000005,5.200033,5.994341,7.683871,8.070005,8.589958,9.172488,9.896307,10.044547,10.34868,10.754872,11.209633,11.965236,13.986676000000001,14.680198,15.440395,15.541022,15.744118,16.066208,16.708933,17.143369
50-2803585,,,,,,,,,,,,,,0,0.7339720000000001,1.321652,2.257053,4.302901,5.097209,6.786739000000001,7.172873000000001,7.692826000000001,8.275356,8.999175000000001,9.147415,9.451548,9.857740000000002,10.312501000000001,11.068104000000002,13.089544000000002,13.783066000000002,14.543263000000001,14.64389,14.846986000000001,15.169076,15.811801,16.246237
51-2803586,,,,,,,,,,,,,,,0,0.58768,1.523081,3.568929,4.363237,6.052766999999999,6.4389009999999995,6.958854,7.541384,8.265203,8.413443,8.717576,9.123768,9.578529,10.334132,12.355572,13.049094,13.809291,13.909918,14.113014,14.435103999999999,15.077829,15.512265
