순번_정류장ID,1-2807429,2-2805676,3-2805630,4-2807038,5-2805632,6-2805634,7-2806163,8-2807626,9-2805703,10-2806807,11-2807439,12-2805702,13-2805700,14-2805698,15-2806024,16-2805696,17-2805694,18-2805636,19-2805692,20-2803157,21-2803651,22-2806491,23-2803182,24-2803678,25-2803679,26-2803155,27-2805705,28-2803154,29-2803655,30-2806607,31-2805970,32-2805972,33-2807630,34-2807300,35-2803298,36-2803190,37-2805833,38-2803288,39-2803285,40-2803650,41-2803291,42-2803296,43-2803179,44-2804433,45-2806619
1-2807429,0,1.157504,1.578001,1.9000080000000001,2.243885,2.87156,3.175047,3.5691010000000003,3.8955780000000004,4.292495000000001,4.514246000000001,4.813136000000001,5.0051890000000006,5.802615,6.011186,6.330306,7.309247,7.724552,8.160282,8.806510000000001,9.160626,9.482865,9.909844,10.408717,10.696644,11.169441999999998,12.037623999999997,12.778858999999997,13.449782999999996,13.831335999999997,14.345285999999996,14.652892999999997,15.175813999999997,15.649129999999998,16.211419,16.542628999999998,16.844416,17.316055,17.76636,18.008587,18.270626,18.419152,18.715794,27.967608,28.300839999999997
2-2805676,,0,0.420497,0.742504,1.086381,1.714056,2.017543,2.411597,2.738074,3.1349910000000003,3.3567420000000006,3.6556320000000007,3.8476850000000007,4.645111000000001,4.853682000000001,5.172802000000001,6.151743000000001,6.567048000000001,7.002778000000001,7.649006000000001,8.003122000000001,8.325361000000001,8.75234,9.251213,9.53914,10.011937999999999,10.880119999999998,11.621354999999998,12.292278999999997,12.673831999999997,13.187781999999997,13.495388999999998,14.018309999999998,14.491625999999998,15.053914999999998,15.385124999999999,15.686911999999998,16.158551,16.608856,16.851083,17.113122,17.261648,17.55829,26.810104,27.143335999999998
3-2805630,,,0,0.32200700000000004,0.665884,1.2935590000000001,1.5970460000000002,1.9911000000000003,2.3175770000000004,2.7144940000000006,2.9362450000000004,3.2351350000000005,3.4271880000000006,4.224614000000001,4.433185000000001,4.752305000000001,5.7312460000000005,6.1465510000000005,6.582281000000001,7.228509000000001,7.582625000000001,7.904864000000001,8.331843000000001,8.830716,9.118643,9.591441,10.459623,11.200858,11.871782,12.253335,12.767285,13.074892,13.597813,14.071129,14.633418,14.964628000000001,15.266415,15.738054,16.188359,16.430585999999998,16.692625,16.841151,17.137793,26.389606999999998,26.722838999999997
4-2807038,,,,0,0.343877,0.971552,1.275039,1.6690930000000002,1.9955700000000003,2.3924870000000005,2.6142380000000003,2.9131280000000004,3.1051810000000004,3.9026070000000006,4.111178000000001,4.4302980000000005,5.409239,5.824544,6.260274000000001,6.906502000000001,7.260618000000001,7.582857000000001,8.009836,8.508709,8.796636,9.269433999999999,10.137615999999998,10.878850999999997,11.549774999999997,11.931327999999997,12.445277999999997,12.752884999999997,13.275805999999998,13.749121999999998,14.311410999999998,14.642620999999998,14.944407999999997,15.416046999999997,15.866351999999997,16.108579,16.370618,16.519144,16.815786,26.0676,26.400831999999998
5-2805632,,,,,0,0.627675,0.931162,1.3252160000000002,1.6516930000000003,2.0486100000000005,2.2703610000000003,2.5692510000000004,2.7613040000000004,3.5587300000000006,3.7673010000000007,4.0864210000000005,5.065362,5.480667,5.916397000000001,6.562625000000001,6.916741000000001,7.238980000000001,7.665959000000001,8.164832,8.452759,8.925557,9.793738999999999,10.534973999999998,11.205897999999998,11.587450999999998,12.101400999999997,12.409007999999998,12.931928999999998,13.405244999999999,13.967533999999999,14.298744,14.600530999999998,15.072169999999998,15.522474999999998,15.764701999999998,16.026740999999998,16.175266999999998,16.471908999999997,25.723722999999996,26.056954999999995
6-2805634,,,,,,0,0.303487,0.697541,1.0240179999999999,1.4209349999999998,1.6426859999999999,1.941576,2.133629,2.9310549999999997,3.139626,3.4587459999999997,4.4376869999999995,4.8529919999999995,5.288722,5.93495,6.289066,6.611305,7.038284,7.537157,7.8250839999999995,8.297882,9.166063999999999,9.907298999999998,10.578222999999998,10.959775999999998,11.473725999999997,11.781332999999998,12.304253999999998,12.777569999999999,13.339858999999999,13.671069,13.972855999999998,14.444494999999998,14.894799999999998,15.137026999999998,15.399065999999998,15.547591999999998,15.844233999999998,25.096047999999996,25.429279999999995
7-2806163,,,,,,,0,0.394054,0.720531,1.117448,1.339199,1.638089,1.830142,2.627568,2.836139,3.155259,4.1342,4.549505,4.985235,5.631463,5.985579,6.307818,6.734797,7.23367,7.521597,7.994395,8.862577,9.603812,10.274735999999999,10.656289,11.170238999999999,11.477846,12.000767,12.474083,13.036372,13.367582,13.669369,14.141008,14.591313,14.83354,15.095578999999999,15.244105,15.540747,24.792561,25.125792999999998
8-2807626,,,,,,,,0,0.326477,0.7233940000000001,0.9451450000000001,1.2440350000000002,1.4360880000000003,2.2335140000000004,2.4420850000000005,2.7612050000000004,3.740146,4.155451,4.591181000000001,5.237409,5.591525000000001,5.9137640000000005,6.340743000000001,6.839616,7.127543,7.600341,8.468523000000001,9.209758,9.880682,10.262235,10.776185,11.083792,11.606713000000001,12.080029000000001,12.642318000000001,12.973528000000002,13.275315,13.746954,14.197259,14.439486,14.701525,14.850051,15.146693,24.398507000000002,24.731739
9-2805703,,,,,,,,,0,0.396917,0.618668,0.917558,1.109611,1.9070369999999999,2.115608,2.434728,3.4136689999999996,3.8289739999999997,4.264704,4.910932,5.265048,5.587287,6.014266,6.513139,6.801066,7.273864,8.142046,8.883281,9.554205,9.935758,10.449708,10.757315,11.280236,11.753552,12.315841,12.647051000000001,12.948838,13.420477,13.870782,14.113009,14.375048,14.523574,14.820216,24.072029999999998,24.405261999999997
10-2806807,,,,,,,,,,0,0.22175100000000003,0.520641,0.712694,1.5101200000000001,1.7186910000000002,2.037811,3.016752,3.432057,3.867787,4.514015,4.868131,5.19037,5.617349,6.116222,6.404148999999999,6.8769469999999995,7.7451289999999995,8.486364,9.157288,9.538841,10.052791,10.360398,10.883319,11.356635,11.918924,12.250134000000001,12.551921,13.02356,13.473865,13.716092,13.978131,14.126657,14.423299,23.675113,24.008345
