순번_정류장ID,88-2800977,89-2800972,90-2800995,91-2801013,92-2801023,93-2801031,94-2801040,95-2801058,96-2801074,97-2801255,98-2801250,99-2801248,100-2801245,101-2801244,102-2805070,103-2801261,104-2804870,105-2801343,106-2801171,107-2801172,108-2801159,109-2801400,110-2801406,111-2801422,112-2801439,113-2801180,114-2801495,115-2801506,116-2801512,117-2801529,118-2801544,119-2801187,120-2801581,121-2801606,122-2800694,123-2800708,124-2800720,125-2800737,126-2800757,127-2800769,128-2800782,129-2800803,130-2800809,131-2800816,132-2800818,133-2802653,134-2802657,135-2802663,136-2802664,137-2802675,138-2802683,139-2802685,140-2802695,141-2802702,142-2802707,143-2802715,144-2802729,145-2802736,146-2802753,147-2802762,148-2803139,149-2803138,150-2803231,151-2803232,152-2803181,153-2803255,154-2804952,155-2803250,156-2803238,157-2803228,158-2803110,159-2803097,160-2803102,161-2803108,162-2803114,163-2805713,164-2803122,165-2803104,166-2803094,167-2803080,168-2803075,169-2803047,170-2803670,171-2802637,172-2802652,173-2803058,174-2800370,175-2800369
88-2800977,0,0.453053,0.715889,0.824628,0.985779,1.190986,1.691434,1.848389,2.638747,2.951291,3.2253979999999998,3.4587589999999997,3.7207999999999997,3.9471959999999995,4.189278,5.073285,5.46035,5.662268,6.019742,6.320491,6.576301,6.772488,7.131851,7.472235,8.026687,8.465325,8.701407,8.9085,9.28197,9.632432999999999,9.912904,10.120569,10.53745,11.480580999999999,11.933532999999999,12.210617,12.473073999999999,12.747258999999998,13.009895999999998,13.385768999999998,14.128045999999998,14.495060999999998,14.819303999999997,15.025955999999997,15.295225999999998,15.530901999999998,15.732693999999997,15.987775999999997,16.215095999999996,16.382949999999994,16.602343999999995,17.006161999999996,17.336609999999997,17.752916999999997,17.982272999999996,18.481053999999997,19.022162999999995,19.292014999999996,19.520856999999996,19.888368999999997,20.338326999999996,20.681577999999995,21.150351999999994,21.555551999999995,21.803587999999994,22.163404999999994,22.479139999999994,22.951850999999994,23.309710999999993,23.81515299999999,24.10666299999999,24.38965499999999,24.58309599999999,24.80488499999999,25.36744699999999,25.562810999999993,25.783315999999992,26.015445999999994,26.514400999999992,26.69065699999999,26.989053999999992,27.35070199999999,27.712624999999992,27.909408999999993,28.26420999999999,28.98404499999999,30.25166699999999,30.69652499999999
89-2800972,,0,0.262836,0.37157500000000004,0.532726,0.7379330000000001,1.238381,1.395336,2.185694,2.4982379999999997,2.7723449999999996,3.0057059999999995,3.2677469999999995,3.4941429999999993,3.7362249999999992,4.620232,5.007296999999999,5.2092149999999995,5.566688999999999,5.867437999999999,6.123247999999999,6.3194349999999995,6.678798,7.019182,7.573634,8.012272,8.248353999999999,8.455447,8.828916999999999,9.179379999999998,9.459850999999999,9.667515999999999,10.084397,11.027527999999998,11.480479999999998,11.757563999999999,12.020020999999998,12.294205999999997,12.556842999999997,12.932715999999997,13.674992999999997,14.042007999999997,14.366250999999997,14.572902999999997,14.842172999999997,15.077848999999997,15.279640999999996,15.534722999999996,15.762042999999997,15.929896999999997,16.149290999999998,16.553109,16.883557,17.299864,17.52922,18.028001,18.56911,18.838962,19.067804,19.435316,19.885274,20.228524999999998,20.697298999999997,21.102498999999998,21.350534999999997,21.710351999999997,22.026086999999997,22.498797999999997,22.856657999999996,23.362099999999995,23.653609999999993,23.936601999999993,24.130042999999993,24.351831999999995,24.914393999999994,25.109757999999996,25.330262999999995,25.562392999999997,26.061347999999995,26.237603999999994,26.536000999999995,26.897648999999994,27.259571999999995,27.456355999999996,27.811156999999994,28.530991999999994,29.798613999999993,30.243471999999993
90-2800995,,,0,0.10873900000000002,0.26989,0.47509700000000005,0.9755450000000001,1.1325,1.9228580000000002,2.235402,2.509509,2.74287,3.004911,3.2313069999999997,3.4733889999999996,4.357396,4.744460999999999,4.946378999999999,5.303852999999999,5.604601999999999,5.860411999999999,6.056598999999999,6.4159619999999995,6.756346,7.310798,7.749436,7.985518,8.192611,8.566080999999999,8.916543999999998,9.197014999999999,9.404679999999999,9.821560999999999,10.764691999999998,11.217643999999998,11.494727999999999,11.757184999999998,12.031369999999997,12.294006999999997,12.669879999999997,13.412156999999997,13.779171999999997,14.103414999999996,14.310066999999997,14.579336999999997,14.815012999999997,15.016804999999996,15.271886999999996,15.499206999999997,15.667060999999997,15.886454999999996,16.290272999999996,16.620720999999996,17.037027999999996,17.266383999999995,17.765164999999996,18.306273999999995,18.576125999999995,18.804967999999995,19.172479999999997,19.622437999999995,19.965688999999994,20.434462999999994,20.839662999999994,21.087698999999994,21.447515999999993,21.763250999999993,22.235961999999994,22.593821999999992,23.09926399999999,23.39077399999999,23.67376599999999,23.86720699999999,24.08899599999999,24.65155799999999,24.846921999999992,25.06742699999999,25.299556999999993,25.79851199999999,25.97476799999999,26.27316499999999,26.63481299999999,26.99673599999999,27.193519999999992,27.54832099999999,28.26815599999999,29.53577799999999,29.98063599999999
91-2801013,,,,0,0.161151,0.366358,0.866806,1.023761,1.8141189999999998,2.1266629999999997,2.4007699999999996,2.6341309999999996,2.8961719999999995,3.1225679999999993,3.3646499999999993,4.248657,4.6357219999999995,4.8376399999999995,5.195113999999999,5.495862999999999,5.751672999999999,5.9478599999999995,6.307223,6.647607,7.202059,7.640697,7.876779,8.083872,8.457341999999999,8.807804999999998,9.088275999999999,9.295941,9.712822,10.655952999999998,11.108904999999998,11.385988999999999,11.648445999999998,11.922630999999997,12.185267999999997,12.561140999999997,13.303417999999997,13.670432999999997,13.994675999999997,14.201327999999997,14.470597999999997,14.706273999999997,14.908065999999996,15.163147999999996,15.390467999999997,15.558321999999997,15.777715999999996,16.181533999999996,16.511981999999996,16.928288999999996,17.157644999999995,17.656425999999996,18.197534999999995,18.467386999999995,18.696228999999995,19.063740999999997,19.513698999999995,19.856949999999994,20.325723999999994,20.730923999999995,20.978959999999994,21.338776999999993,21.654511999999993,22.127222999999994,22.485082999999992,22.99052499999999,23.28203499999999,23.56502699999999,23.75846799999999,23.98025699999999,24.54281899999999,24.738182999999992,24.95868799999999,25.190817999999993,25.68977299999999,25.86602899999999,26.16442599999999,26.52607399999999,26.88799699999999,27.084780999999992,27.43958199999999,28.15941699999999,29.42703899999999,29.87189699999999
92-2801023,,,,,0,0.20520700000000003,0.705655,0.86261,1.652968,1.965512,2.239619,2.4729799999999997,2.7350209999999997,2.9614169999999995,3.2034989999999994,4.087505999999999,4.474570999999999,4.676488999999999,5.033962999999999,5.334711999999999,5.590521999999999,5.786708999999999,6.146071999999999,6.4864559999999996,7.040908,7.479546,7.715628,7.922720999999999,8.296190999999999,8.646653999999998,8.927124999999998,9.134789999999999,9.551670999999999,10.494801999999998,10.947753999999998,11.224837999999998,11.487294999999998,11.761479999999997,12.024116999999997,12.399989999999997,13.142266999999997,13.509281999999997,13.833524999999996,14.040176999999996,14.309446999999997,14.545122999999997,14.746914999999996,15.001996999999996,15.229316999999996,15.397170999999997,15.616564999999996,16.020382999999995,16.350830999999996,16.767137999999996,16.996493999999995,17.495274999999996,18.036383999999995,18.306235999999995,18.535077999999995,18.902589999999996,19.352547999999995,19.695798999999994,20.164572999999994,20.569772999999994,20.817808999999993,21.177625999999993,21.493360999999993,21.966071999999993,22.323931999999992,22.82937399999999,23.12088399999999,23.40387599999999,23.59731699999999,23.81910599999999,24.38166799999999,24.577031999999992,24.79753699999999,25.029666999999993,25.52862199999999,25.70487799999999,26.00327499999999,26.36492299999999,26.72684599999999,26.923629999999992,27.27843099999999,27.99826599999999,29.26588799999999,29.71074599999999
93-2801031,,,,,,0,0.500448,0.657403,1.4477609999999999,1.7603049999999998,2.0344119999999997,2.2677729999999996,2.5298139999999996,2.7562099999999994,2.9982919999999993,3.8822989999999993,4.2693639999999995,4.4712819999999995,4.828755999999999,5.129504999999999,5.385314999999999,5.5815019999999995,5.940865,6.281249,6.835701,7.274339,7.510421,7.7175139999999995,8.090983999999999,8.441446999999998,8.721917999999999,8.929583,9.346464,10.289594999999998,10.742546999999998,11.019630999999999,11.282087999999998,11.556272999999997,11.818909999999997,12.194782999999997,12.937059999999997,13.304074999999997,13.628317999999997,13.834969999999997,14.104239999999997,14.339915999999997,14.541707999999996,14.796789999999996,15.024109999999997,15.191963999999997,15.411357999999996,15.815175999999996,16.145623999999994,16.561930999999994,16.791286999999993,17.290067999999994,17.831176999999993,18.101028999999993,18.329870999999994,18.697382999999995,19.147340999999994,19.490591999999992,19.959365999999992,20.364565999999993,20.612601999999992,20.97241899999999,21.28815399999999,21.760864999999992,22.11872499999999,22.62416699999999,22.915676999999988,23.198668999999988,23.392109999999988,23.61389899999999,24.17646099999999,24.37182499999999,24.59232999999999,24.82445999999999,25.32341499999999,25.49967099999999,25.79806799999999,26.15971599999999,26.52163899999999,26.71842299999999,27.07322399999999,27.79305899999999,29.060680999999988,29.505538999999988
94-2801040,,,,,,,0,0.15695499999999998,0.947313,1.259857,1.533964,1.767325,2.029366,2.255762,2.4978439999999997,3.3818509999999997,3.768916,3.970834,4.328308,4.6290569999999995,4.884867,5.081054,5.440417,5.780801,6.335253000000001,6.773891000000001,7.0099730000000005,7.217066000000001,7.590536000000001,7.9409990000000015,8.221470000000002,8.429135000000002,8.846016000000002,9.789147000000002,10.242099000000001,10.519183000000002,10.781640000000001,11.055825,11.318462,11.694335,12.436612,12.803627,13.12787,13.334522,13.603792,13.839468,14.04126,14.296342,14.523662,14.691516,14.91091,15.314727999999999,15.645176,16.061483,16.290839,16.78962,17.330728999999998,17.600581,17.829423,18.196935,18.646893,18.990143999999997,19.458917999999997,19.864117999999998,20.112153999999997,20.471970999999996,20.787705999999996,21.260416999999997,21.618276999999996,22.123718999999994,22.415228999999993,22.698220999999993,22.891661999999993,23.113450999999994,23.676012999999994,23.871376999999995,24.091881999999995,24.324011999999996,24.822966999999995,24.999222999999994,25.297619999999995,25.659267999999994,26.021190999999995,26.217974999999996,26.572775999999994,27.292610999999994,28.560232999999993,29.005090999999993
95-2801058,,,,,,,,0,0.790358,1.102902,1.3770090000000001,1.61037,1.872411,2.098807,2.3408889999999998,3.2248959999999998,3.611961,3.813879,4.171353,4.472102,4.727912,4.924099,5.283462,5.623846,6.178298000000001,6.616936000000001,6.8530180000000005,7.060111000000001,7.433581000000001,7.7840440000000015,8.064515000000002,8.272180000000002,8.689061000000002,9.632192000000002,10.085144000000001,10.362228000000002,10.624685000000001,10.89887,11.161507,11.53738,12.279657,12.646672,12.970915,13.177567,13.446837,13.682513,13.884305,14.139387,14.366707,14.534561,14.753955,15.157772999999999,15.488221,15.904527999999999,16.133884,16.632665,17.173773999999998,17.443626,17.672468,18.03998,18.489938,18.833188999999997,19.301962999999997,19.707162999999998,19.955198999999997,20.315015999999996,20.630750999999997,21.103461999999997,21.461321999999996,21.966763999999994,22.258273999999993,22.541265999999993,22.734706999999993,22.956495999999994,23.519057999999994,23.714421999999995,23.934926999999995,24.167056999999996,24.666011999999995,24.842267999999994,25.140664999999995,25.502312999999994,25.864235999999995,26.061019999999996,26.415820999999994,27.135655999999994,28.403277999999993,28.848135999999993
96-2801074,,,,,,,,,0,0.312544,0.586651,0.8200120000000001,1.0820530000000002,1.3084490000000002,1.5505310000000003,2.4345380000000003,2.8216030000000005,3.0235210000000006,3.3809950000000004,3.6817440000000006,3.9375540000000004,4.1337410000000006,4.493104000000001,4.833488000000001,5.387940000000001,5.826578000000001,6.062660000000001,6.2697530000000015,6.643223000000002,6.993686000000002,7.274157000000002,7.481822000000003,7.898703000000003,8.841834000000002,9.294786000000002,9.571870000000002,9.834327000000002,10.108512000000001,10.371149,10.747022000000001,11.489299,11.856314000000001,12.180557,12.387209,12.656479000000001,12.892155,13.093947,13.349029,13.576349,13.744203,13.963597,14.367415,14.697863,15.11417,15.343525999999999,15.842306999999998,16.383415999999997,16.653267999999997,16.882109999999997,17.249622,17.699579999999997,18.042830999999996,18.511604999999996,18.916804999999997,19.164840999999996,19.524657999999995,19.840392999999995,20.313103999999996,20.670963999999994,21.176405999999993,21.467915999999992,21.750907999999992,21.944348999999992,22.166137999999993,22.728699999999993,22.924063999999994,23.144568999999994,23.376698999999995,23.875653999999994,24.051909999999992,24.350306999999994,24.711954999999993,25.073877999999993,25.270661999999994,25.625462999999993,26.345297999999993,27.612919999999992,28.057777999999992
97-2801255,,,,,,,,,,0,0.274107,0.507468,0.769509,0.995905,1.237987,2.121994,2.5090589999999997,2.7109769999999997,3.0684509999999996,3.3691999999999998,3.6250099999999996,3.8211969999999997,4.18056,4.520944,5.0753960000000005,5.5140340000000005,5.750116,5.957209000000001,6.330679000000001,6.681142000000001,6.961613000000002,7.169278000000002,7.586159000000002,8.529290000000001,8.982242000000001,9.259326000000001,9.521783000000001,9.795968,10.058605,10.434478,11.176755,11.54377,11.868013,12.074665,12.343935,12.579611,12.781403,13.036484999999999,13.263805,13.431659,13.651053,14.054870999999999,14.385318999999999,14.801625999999999,15.030981999999998,15.529762999999997,16.070871999999998,16.340723999999998,16.569566,16.937078,17.387036,17.730286999999997,18.199060999999997,18.604260999999997,18.852296999999997,19.212113999999996,19.527848999999996,20.000559999999997,20.358419999999995,20.863861999999994,21.155371999999993,21.438363999999993,21.631804999999993,21.853593999999994,22.416155999999994,22.611519999999995,22.832024999999994,23.064154999999996,23.563109999999995,23.739365999999993,24.037762999999995,24.399410999999994,24.761333999999994,24.958117999999995,25.312918999999994,26.032753999999994,27.300375999999993,27.745233999999993
