순번_정류장ID,11-2801919,12-2801912,13-2801911,14-2801910,15-2801913,16-2801917
11-2801919,0,0.351202,0.649536,0.820805,1.067676,1.254366
12-2801912,,0,0.298334,0.469603,0.716474,0.9031640000000001
13-2801911,,,0,0.171269,0.41814,0.60483
14-2801910,,,,0,0.246871,0.43356100000000003
15-2801913,,,,,0,0.18669000000000002
16-2801917,,,,,,0
