순번_정류장ID,1-2802511,2-2802454,3-2802250,4-2807320,5-2802229,6-2802236,7-2802254,8-2803792,9-2801817,10-2805668,11-2801889,12-2807321,13-2807322,14-2802306,15-2803637,16-2802324,17-2805421,18-2806664,19-2806665,20-2805423,21-2805016,22-2804853,23-2805042,24-2805063,25-2803817
1-2802511,0,0.569118,1.073915,1.751831,2.211115,2.642176,3.204607,3.5741400000000003,3.902057,4.232774,4.611677,5.25453,5.62249,5.862979,6.151206,6.339966,6.807788,7.091652000000001,7.367466,7.587098,7.812933,7.926999,8.246167,8.412737,8.85244
2-2802454,,0,0.504797,1.1827130000000001,1.6419970000000002,2.073058,2.635489,3.0050220000000003,3.3329390000000005,3.6636560000000005,4.042559000000001,4.685412,5.053372,5.293861000000001,5.582088000000001,5.770848000000001,6.238670000000001,6.522534000000001,6.798348000000001,7.0179800000000006,7.243815000000001,7.357881000000001,7.677049000000001,7.843619000000001,8.283322000000002
3-2802250,,,0,0.677916,1.1372,1.568261,2.130692,2.500225,2.8281419999999997,3.1588589999999996,3.537762,4.1806149999999995,4.548575,4.789064,5.077291,5.266051,5.733873,6.017737,6.293551000000001,6.513183000000001,6.739018000000001,6.853084000000001,7.172252000000001,7.338822000000001,7.778525000000001
4-2807320,,,,0,0.459284,0.8903449999999999,1.452776,1.8223090000000002,2.150226,2.480943,2.859846,3.5026990000000002,3.8706590000000003,4.111148,4.399375,4.588135,5.055957,5.339821000000001,5.615635000000001,5.835267000000001,6.061102000000001,6.175168000000001,6.494336000000001,6.6609060000000015,7.100609000000001
5-2802229,,,,,0,0.43106099999999997,0.993492,1.363025,1.690942,2.021659,2.4005620000000003,3.0434150000000004,3.4113750000000005,3.6518640000000007,3.9400910000000007,4.128851000000001,4.596673000000001,4.880537000000001,5.156351000000001,5.375983000000001,5.601818000000001,5.715884000000001,6.035052000000001,6.201622000000001,6.641325000000001
6-2802236,,,,,,0,0.562431,0.931964,1.259881,1.590598,1.969501,2.612354,2.980314,3.220803,3.50903,3.69779,4.165612,4.449476000000001,4.725290000000001,4.944922000000001,5.170757000000001,5.284823000000001,5.6039910000000015,5.770561000000002,6.210264000000001
7-2802254,,,,,,,0,0.369533,0.69745,1.028167,1.40707,2.049923,2.4178830000000002,2.6583720000000004,2.9465990000000004,3.1353590000000002,3.603181,3.887045,4.162859,4.382491,4.608326,4.722392,5.0415600000000005,5.208130000000001,5.647833
8-2803792,,,,,,,,0,0.327917,0.6586339999999999,1.037537,1.68039,2.04835,2.2888390000000003,2.5770660000000003,2.765826,3.233648,3.517512,3.793326,4.012958,4.238793,4.3528590000000005,4.672027000000001,4.838597000000001,5.278300000000001
9-2801817,,,,,,,,,0,0.330717,0.70962,1.352473,1.720433,1.960922,2.249149,2.437909,2.905731,3.1895949999999997,3.4654089999999997,3.6850409999999996,3.9108759999999996,4.024941999999999,4.34411,4.51068,4.9503829999999995
10-2805668,,,,,,,,,,0,0.37890300000000005,1.021756,1.3897160000000002,1.6302050000000001,1.9184320000000001,2.107192,2.575014,2.858878,3.134692,3.3543239999999996,3.5801589999999996,3.694225,4.013393,4.179963,4.619666
11-2801889,,,,,,,,,,,0,0.642853,1.010813,1.251302,1.539529,1.728289,2.196111,2.479975,2.755789,2.975421,3.201256,3.315322,3.63449,3.80106,4.240763
12-2807321,,,,,,,,,,,,0,0.36796,0.608449,0.896676,1.085436,1.553258,1.837122,2.112936,2.3325679999999998,2.5584029999999998,2.672469,2.991637,3.158207,3.5979099999999997
13-2807322,,,,,,,,,,,,,0,0.24048899999999998,0.528716,0.717476,1.185298,1.4691619999999999,1.7449759999999999,1.964608,2.1904429999999997,2.304509,2.623677,2.790247,3.2299499999999997
14-2802306,,,,,,,,,,,,,,0,0.288227,0.476987,0.944809,1.2286730000000001,1.5044870000000001,1.7241190000000002,1.9499540000000002,2.06402,2.383188,2.549758,2.9894610000000004
15-2803637,,,,,,,,,,,,,,,0,0.18875999999999998,0.656582,0.940446,1.2162600000000001,1.4358920000000002,1.6617270000000002,1.7757930000000002,2.094961,2.261531,2.7012340000000004
16-2802324,,,,,,,,,,,,,,,,0,0.467822,0.7516860000000001,1.0275,1.2471320000000001,1.4729670000000001,1.5870330000000001,1.9062010000000003,2.0727710000000004,2.512474
17-2805421,,,,,,,,,,,,,,,,,0,0.283864,0.559678,0.7793100000000001,1.005145,1.119211,1.4383789999999999,1.604949,2.044652
18-2806664,,,,,,,,,,,,,,,,,,0,0.275814,0.49544600000000005,0.7212810000000001,0.8353470000000001,1.154515,1.321085,1.760788
19-2806665,,,,,,,,,,,,,,,,,,,0,0.21963200000000002,0.445467,0.5595330000000001,0.8787010000000001,1.045271,1.484974
20-2805423,,,,,,,,,,,,,,,,,,,,0,0.22583499999999998,0.339901,0.659069,0.825639,1.265342
21-2805016,,,,,,,,,,,,,,,,,,,,,0,0.11406600000000001,0.433234,0.599804,1.039507
22-2804853,,,,,,,,,,,,,,,,,,,,,,0,0.319168,0.485738,0.925441
23-2805042,,,,,,,,,,,,,,,,,,,,,,,0,0.16657,0.606273
24-2805063,,,,,,,,,,,,,,,,,,,,,,,,0,0.43970299999999995
25-2803817,,,,,,,,,,,,,,,,,,,,,,,,,0
