순번_정류장ID,17-2803380,18-2805503,19-2803176,20-2803381,21-2803140,22-2807621,23-2807597,24-2805549,25-2806579,26-2807590,27-2805547,28-2805546
17-2803380,0,0.173851,0.610726,0.882916,1.0729630000000001,1.5318650000000003,2.0124030000000004,3.6324620000000003,4.230638000000001,6.483699000000001,7.955686000000002,8.376316000000001
18-2805503,,0,0.436875,0.7090650000000001,0.899112,1.358014,1.838552,3.458611,4.056787,6.309848000000001,7.781835000000001,8.202465
19-2803176,,,0,0.27219,0.462237,0.921139,1.401677,3.0217359999999998,3.619912,5.872973,7.34496,7.76559
20-2803381,,,,0,0.190047,0.648949,1.1294870000000001,2.749546,3.347722,5.600783,7.07277,7.4934
21-2803140,,,,,0,0.45890200000000003,0.93944,2.5594989999999997,3.157675,5.410736,6.882723,7.303353
22-2807621,,,,,,0,0.480538,2.100597,2.698773,4.951834,6.423821,6.844451
23-2807597,,,,,,,0,1.620059,2.218235,4.471296000000001,5.943283000000001,6.363913000000001
24-2805549,,,,,,,,0,0.598176,2.8512370000000002,4.323224000000001,4.743854000000001
25-2806579,,,,,,,,,0,2.253061,3.725048,4.145678
26-2807590,,,,,,,,,,0,1.4719870000000002,1.8926170000000002
27-2805547,,,,,,,,,,,0,0.42063
28-2805546,,,,,,,,,,,,0
