순번_정류장ID,20-2803478,21-2805175,22-2805166,23-2805164,24-2805167,25-2805162,26-2805160,27-2805158,28-2803416,29-2807467,30-2807468,31-2807583,32-2806215,33-2800622,34-2800336,35-2800670,36-2800695
20-2803478,0,1.630449,2.430809,2.803021,3.2942270000000002,3.828024,4.352959,5.107381,7.491860000000001,13.256808000000001,18.297527000000002,23.407767000000003,27.709738,28.825928,29.615977,30.137998,31.003118999999998
21-2805175,,0,0.8003600000000001,1.1725720000000002,1.6637780000000002,2.1975750000000005,2.7225100000000007,3.4769320000000006,5.861411,11.626359,16.667078,21.777318,26.079289000000003,27.195479000000002,27.985528000000002,28.507549,29.37267
22-2805166,,,0,0.372212,0.863418,1.397215,1.9221500000000002,2.676572,5.061051000000001,10.825999000000001,15.866718000000002,20.976958000000003,25.278929000000005,26.395119000000005,27.185168000000004,27.707189000000003,28.57231
23-2805164,,,,0,0.49120600000000003,1.025003,1.549938,2.30436,4.688839,10.453787,15.494506000000001,20.604746000000002,24.906717,26.022907,26.812956,27.334977,28.200097999999997
24-2805167,,,,,0,0.5337970000000001,1.058732,1.813154,4.197633,9.962581,15.0033,20.11354,24.415511000000002,25.531701,26.32175,26.843771,27.708892
25-2805162,,,,,,0,0.524935,1.279357,3.6638360000000003,9.428784,14.469503,19.579743,23.881714000000002,24.997904000000002,25.787953,26.309974,27.175095
26-2805160,,,,,,,0,0.754422,3.138901,8.903849000000001,13.944568,19.054808,23.356779000000003,24.472969000000003,25.263018000000002,25.785039,26.65016
27-2805158,,,,,,,,0,2.3844790000000002,8.149427000000001,13.190146000000002,18.300386000000003,22.602357000000005,23.718547000000004,24.508596000000004,25.030617000000003,25.895738
28-2803416,,,,,,,,,0,5.764948,10.805667,15.915907,20.217878,21.334068,22.124117,22.646137999999997,23.511258999999995
29-2807467,,,,,,,,,,0,5.040719,10.150959,14.45293,15.56912,16.359169,16.88119,17.746311
30-2807468,,,,,,,,,,,0,5.11024,9.412211,10.528400999999999,11.318449999999999,11.840470999999999,12.705592
31-2807583,,,,,,,,,,,,0,4.301971,5.418161,6.208209999999999,6.730230999999999,7.595351999999999
32-2806215,,,,,,,,,,,,,0,1.11619,1.906239,2.42826,3.2933809999999997
33-2800622,,,,,,,,,,,,,,0,0.790049,1.3120699999999998,2.1771909999999997
34-2800336,,,,,,,,,,,,,,,0,0.522021,1.3871419999999999
35-2800670,,,,,,,,,,,,,,,,0,0.8651209999999999
36-2800695,,,,,,,,,,,,,,,,,0
