순번_정류장ID,13-2801663,14-2801705,15-2801716,16-2801728,17-2801735
13-2801663,0,0.997235,1.270494,1.511064,1.6743219999999999
14-2801705,,0,0.27325900000000003,0.513829,0.677087
15-2801716,,,0,0.24056999999999998,0.40382799999999996
16-2801728,,,,0,0.163258
17-2801735,,,,,0
