순번_정류장ID,1-2802586,2-2802349,3-2802577,4-2802581,5-2804851,6-2803664,7-2804436,8-2806047,9-2806048,10-2806725,11-2805822,12-2805054,13-2803666,14-2805655,15-2802347,16-2803527,17-2806624,18-2805010,19-2805397,20-2805059,21-2805587,22-2804448,23-2805552,24-2802568,25-2802551,26-2802538,27-2802375,28-2802507,29-2802428,30-2803019,31-2803003,32-2803008,33-2806040,34-2802967,35-2802963,36-2802956,37-2802939,38-2802634,39-2802843,40-2802804,41-2802810,42-2802859,43-2803287,44-2803281,45-2803275,46-2803266,47-2803268,48-2803259,49-2803249,50-2803226,51-2803127,52-2805712,53-2803122,54-2803104,55-2803094,56-2803080,57-2806182,58-2806058,59-2805447,60-2805651,61-2800369,62-2805726
1-2802586,0,0.216912,0.383942,1.0424980000000001,2.620087,3.461488,4.3263,4.735357,5.439531,5.813803999999999,6.420361,6.845422999999999,7.584478999999999,7.786039999999999,8.540460999999999,8.988399999999999,9.291279,9.505747,9.71189,9.934330000000001,10.435796000000002,10.842224000000002,12.396736000000002,13.036820000000002,13.861123000000003,14.161755000000003,14.345447000000004,15.344156000000003,16.345163000000003,17.116324000000002,17.507506000000003,17.809274000000002,18.175564,18.668761,19.01081,19.536863,20.114279,20.460828,21.088328,21.394190000000002,22.002083000000002,22.720749,23.166410000000003,23.556251000000003,23.820923000000004,24.225190000000005,24.788118000000004,24.982370000000003,25.622382,25.831281,26.274323,26.522326,26.742831,26.974961,27.473916,28.095945999999998,28.307558999999998,28.564593999999996,28.771401999999995,29.636181999999994,30.749216999999994,31.076589999999996
2-2802349,,0,0.16702999999999998,0.825586,2.403175,3.2445760000000003,4.109388,4.518445,5.222619,5.5968919999999995,6.203448999999999,6.628510999999999,7.367566999999998,7.569127999999998,8.323548999999998,8.771487999999998,9.074366999999999,9.288834999999999,9.494978,9.717418,10.218884000000001,10.625312000000001,12.179824000000002,12.819908000000002,13.644211000000002,13.944843000000002,14.128535000000003,15.127244000000003,16.128251000000002,16.899412,17.290594000000002,17.592362,17.958652,18.451849,18.793898,19.319951,19.897367,20.243916,20.871416,21.177278,21.785171000000002,22.503837,22.949498000000002,23.339339000000002,23.604011000000003,24.008278000000004,24.571206000000004,24.765458000000002,25.40547,25.614369,26.057411,26.305414,26.525919,26.758049,27.257004,27.879033999999997,28.090646999999997,28.347681999999995,28.554489999999994,29.419269999999994,30.532304999999994,30.859677999999995
3-2802577,,,0,0.658556,2.236145,3.077546,3.942358,4.351415,5.055589,5.429862,6.036419,6.461481,7.200537,7.402098,8.156519,8.604458,8.907337,9.121805,9.327948000000001,9.550388000000002,10.051854000000002,10.458282000000002,12.012794000000003,12.652878000000003,13.477181000000003,13.777813000000004,13.961505000000004,14.960214000000004,15.961221000000004,16.732382000000005,17.123564000000005,17.425332000000004,17.791622000000004,18.284819000000002,18.626868,19.152921000000003,19.730337000000002,20.076886000000002,20.704386000000003,21.010248000000004,21.618141000000005,22.336807000000004,22.782468000000005,23.172309000000006,23.436981000000007,23.841248000000007,24.404176000000007,24.598428000000006,25.238440000000004,25.447339000000003,25.890381,26.138384000000002,26.358889,26.591019000000003,27.089974,27.712004,27.923617,28.180652,28.387459999999997,29.252239999999997,30.365274999999997,30.692648
4-2802581,,,,0,1.577589,2.41899,3.283802,3.6928590000000003,4.397033,4.771306,5.377863,5.802924999999999,6.541980999999999,6.743541999999999,7.497962999999999,7.9459019999999985,8.248781,8.463249,8.669392,8.891832,9.393298000000001,9.799726000000001,11.354238000000002,11.994322000000002,12.818625000000003,13.119257000000003,13.302949000000003,14.301658000000003,15.302665000000003,16.073826000000004,16.465008000000005,16.766776000000004,17.133066000000003,17.626263,17.968312,18.494365000000002,19.071781,19.41833,20.045830000000002,20.351692000000003,20.959585000000004,21.678251000000003,22.123912000000004,22.513753000000005,22.778425000000006,23.182692000000007,23.745620000000006,23.939872000000005,24.579884000000003,24.788783000000002,25.231825,25.479828,25.700333,25.932463000000002,26.431418,27.053448,27.265061,27.522095999999998,27.728903999999996,28.593683999999996,29.706718999999996,30.034091999999998
5-2804851,,,,,0,0.8414010000000001,1.706213,2.1152699999999998,2.819444,3.193717,3.800274,4.2253359999999995,4.964391999999999,5.165952999999999,5.920373999999999,6.368312999999999,6.671191999999999,6.885659999999999,7.091802999999999,7.3142429999999985,7.815708999999998,8.222136999999998,9.776648999999999,10.416732999999999,11.241036,11.541668,11.72536,12.724069,13.725076,14.496236999999999,14.887419,15.189186999999999,15.555476999999998,16.048674,16.390722999999998,16.916776,17.494191999999998,17.840740999999998,18.468241,18.774103,19.381996,20.100662,20.546323,20.936164,21.200836000000002,21.605103000000003,22.168031000000003,22.362283,23.002295,23.211194,23.654235999999997,23.902238999999998,24.122743999999997,24.354874,24.853828999999998,25.475858999999996,25.687471999999996,25.944506999999994,26.151314999999993,27.016094999999993,28.129129999999993,28.456502999999994
6-2803664,,,,,,0,0.864812,1.273869,1.978043,2.352316,2.958873,3.383935,4.122991,4.324552,5.0789729999999995,5.526911999999999,5.829790999999999,6.044258999999999,6.250401999999999,6.472841999999999,6.974307999999999,7.380735999999999,8.935248,9.575332,10.399635,10.700267,10.883959,11.882668,12.883675,13.654836,14.046018,14.347786,14.714075999999999,15.207272999999999,15.549321999999998,16.075374999999998,16.652790999999997,16.999339999999997,17.626839999999998,17.932702,18.540595,19.259261,19.704922,20.094763,20.359435,20.763702000000002,21.32663,21.520882,22.160894,22.369792999999998,22.812834999999996,23.060837999999997,23.281342999999996,23.513472999999998,24.012427999999996,24.634457999999995,24.846070999999995,25.103105999999993,25.309913999999992,26.17469399999999,27.28772899999999,27.615101999999993
7-2804436,,,,,,,0,0.409057,1.1132309999999999,1.487504,2.094061,2.519123,3.258179,3.45974,4.214161,4.6621,4.964979,5.179447,5.38559,5.608029999999999,6.109495999999999,6.515923999999999,8.070435999999999,8.710519999999999,9.534823,9.835455,10.019147,11.017856,12.018863,12.790023999999999,13.181206,13.482973999999999,13.849263999999998,14.342460999999998,14.684509999999998,15.210562999999997,15.787978999999996,16.134527999999996,16.762027999999997,17.06789,17.675783,18.394448999999998,18.84011,19.229951,19.494623,19.89889,20.461818,20.65607,21.296082,21.504980999999997,21.948022999999996,22.196025999999996,22.416530999999996,22.648660999999997,23.147615999999996,23.769645999999995,23.981258999999994,24.238293999999993,24.44510199999999,25.30988199999999,26.42291699999999,26.750289999999993
8-2806047,,,,,,,,0,0.704174,1.078447,1.685004,2.1100659999999998,2.849122,3.050683,3.805104,4.253043,4.555922,4.77039,4.976533,5.198973,5.700438999999999,6.106866999999999,7.661378999999999,8.301463,9.125766,9.426398,9.610090000000001,10.608799000000001,11.609806,12.380967,12.772149,13.073917,13.440207,13.933404,14.275452999999999,14.801505999999998,15.378921999999998,15.725470999999997,16.352970999999997,16.658832999999998,17.266726,17.985391999999997,18.431053,18.820894,19.085566,19.489833,20.052761,20.247013,20.887024999999998,21.095923999999997,21.538965999999995,21.786968999999996,22.007473999999995,22.239603999999996,22.738558999999995,23.360588999999994,23.572201999999994,23.829236999999992,24.03604499999999,24.90082499999999,26.01385999999999,26.341232999999992
9-2806048,,,,,,,,,0,0.374273,0.9808300000000001,1.4058920000000001,2.1449480000000003,2.346509,3.10093,3.548869,3.8517479999999997,4.066216,4.272359,4.4947989999999995,4.996264999999999,5.402692999999999,6.957204999999999,7.597288999999999,8.421591999999999,8.722223999999999,8.905916,9.904625,10.905631999999999,11.676792999999998,12.067974999999999,12.369742999999998,12.736032999999997,13.229229999999998,13.571278999999997,14.097331999999996,14.674747999999996,15.021296999999995,15.648796999999995,15.954658999999994,16.562551999999993,17.281217999999992,17.726878999999993,18.116719999999994,18.381391999999995,18.785658999999995,19.348586999999995,19.542838999999994,20.182850999999992,20.39174999999999,20.83479199999999,21.08279499999999,21.30329999999999,21.53542999999999,22.03438499999999,22.65641499999999,22.86802799999999,23.125062999999987,23.331870999999985,24.196650999999985,25.309685999999985,25.637058999999986
10-2806725,,,,,,,,,,0,0.606557,1.031619,1.7706750000000002,1.972236,2.7266570000000003,3.174596,3.477475,3.691943,3.898086,4.120526,4.621992,5.02842,6.582932,7.223015999999999,8.047319,8.347951,8.531643,9.530352,10.531359,11.30252,11.693702,11.99547,12.361759999999999,12.854956999999999,13.197005999999998,13.723058999999997,14.300474999999997,14.647023999999996,15.274523999999996,15.580385999999995,16.188278999999994,16.906944999999993,17.352605999999994,17.742446999999995,18.007118999999996,18.411385999999997,18.974313999999996,19.168565999999995,19.808577999999994,20.017476999999992,20.46051899999999,20.70852199999999,20.92902699999999,21.161156999999992,21.66011199999999,22.28214199999999,22.49375499999999,22.750789999999988,22.957597999999987,23.822377999999986,24.935412999999986,25.262785999999988
