순번_정류장ID,1-2801620,2-2801624,3-2801644,4-2801637,5-2801670,6-2801683,7-2801702,8-2801696,9-2801687,10-2801184,11-2801665,12-2801636,13-2801601,14-2801541,15-2801577
1-2801620,0,0.139536,0.268086,0.659161,1.2383799999999998,1.4993519999999998,1.6513339999999999,1.966368,2.437732,2.705416,3.097839,3.392725,3.86205,4.126944,4.44463
2-2801624,,0,0.12855,0.519625,1.098844,1.359816,1.511798,1.826832,2.298196,2.56588,2.958303,3.253189,3.722514,3.987408,4.3050939999999995
3-2801644,,,0,0.391075,0.970294,1.231266,1.383248,1.698282,2.169646,2.43733,2.829753,3.124639,3.593964,3.858858,4.176544
4-2801637,,,,0,0.5792189999999999,0.8401909999999999,0.992173,1.307207,1.778571,2.046255,2.438678,2.733564,3.202889,3.467783,3.785469
5-2801670,,,,,0,0.260972,0.412954,0.7279880000000001,1.1993520000000002,1.4670360000000002,1.8594590000000002,2.154345,2.62367,2.888564,3.2062500000000003
6-2801683,,,,,,0,0.151982,0.46701600000000004,0.93838,1.206064,1.598487,1.893373,2.362698,2.627592,2.945278
7-2801702,,,,,,,0,0.31503400000000004,0.786398,1.0540820000000002,1.4465050000000002,1.7413910000000001,2.210716,2.47561,2.7932960000000002
8-2801696,,,,,,,,0,0.471364,0.739048,1.1314710000000001,1.426357,1.895682,2.1605760000000003,2.4782620000000004
9-2801687,,,,,,,,,0,0.26768400000000003,0.660107,0.954993,1.424318,1.689212,2.006898
10-2801184,,,,,,,,,,0,0.392423,0.6873090000000001,1.156634,1.421528,1.739214
11-2801665,,,,,,,,,,,0,0.29488600000000004,0.764211,1.029105,1.346791
12-2801636,,,,,,,,,,,,0,0.469325,0.734219,1.051905
13-2801601,,,,,,,,,,,,,0,0.264894,0.5825800000000001
14-2801541,,,,,,,,,,,,,,0,0.317686
15-2801577,,,,,,,,,,,,,,,0
