순번_정류장ID,1-2802026,2-2802031,3-2802010,4-2801884,5-2801885,6-2802001,7-2801887,8-2802025,9-2802045,10-2801888,11-2802021,12-2801968,13-2801176
1-2802026,0,0.169689,0.517278,0.646673,0.8658880000000001,1.118651,1.330278,1.6954390000000001,1.921118,2.344106,2.763055,3.122404,3.560445
2-2802031,,0,0.347589,0.47698399999999996,0.696199,0.9489620000000001,1.160589,1.5257500000000002,1.7514290000000001,2.174417,2.593366,2.952715,3.390756
3-2802010,,,0,0.129395,0.34861000000000003,0.601373,0.8130000000000001,1.178161,1.40384,1.826828,2.245777,2.605126,3.043167
4-2801884,,,,0,0.21921500000000002,0.471978,0.683605,1.048766,1.274445,1.6974330000000002,2.116382,2.475731,2.9137720000000003
5-2801885,,,,,0,0.252763,0.46439,0.829551,1.0552300000000001,1.478218,1.897167,2.256516,2.694557
6-2802001,,,,,,0,0.211627,0.5767880000000001,0.802467,1.2254550000000002,1.6444040000000002,2.003753,2.4417940000000002
7-2801887,,,,,,,0,0.365161,0.59084,1.0138280000000002,1.4327770000000002,1.792126,2.2301670000000002
8-2802025,,,,,,,,0,0.225679,0.648667,1.067616,1.4269649999999998,1.8650059999999997
9-2802045,,,,,,,,,0,0.42298800000000003,0.8419369999999999,1.2012859999999999,1.6393269999999998
10-2801888,,,,,,,,,,0,0.41894899999999996,0.7782979999999999,1.2163389999999998
11-2802021,,,,,,,,,,,0,0.359349,0.7973899999999999
12-2801968,,,,,,,,,,,,0,0.43804099999999996
13-2801176,,,,,,,,,,,,,0
