순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2803688,17-2804778,18-2804262,19-2806280,20-2804264,21-2804266,22-2804268,23-2804270,24-2804273,25-2806282,26-2804282,27-2806284,28-2806286,29-2804274,30-2803725,31-2803753,32-2804637,33-2804276,34-2804278,35-2804280
1-2800270,0,0.789313,1.060607,1.372924,1.512173,1.762855,2.05268,2.6922,3.0206440000000003,3.155848,3.582986,3.995159,4.733763,5.203373999999999,5.847453999999999,6.207977999999999,6.707919999999999,7.209241999999999,7.765007999999999,8.357581999999999,9.087216,9.360955,9.99858,10.315811,10.854656,11.135277,11.35755,11.776633,12.224681,12.42327,12.592015,12.831775,14.419876,14.899980000000001,15.128114000000002
2-2800268,,0,0.271294,0.583611,0.7228600000000001,0.9735420000000001,1.2633670000000001,1.9028870000000002,2.2313310000000004,2.3665350000000003,2.793673,3.205846,3.9444500000000002,4.414061,5.058141,5.418665,5.918607,6.419929,6.975695,7.568269,8.297903,8.571642,9.209267,9.526498,10.065343,10.345964,10.568237,10.98732,11.435368,11.633957,11.802702,12.042462,13.630563,14.110667000000001,14.338801000000002
3-2800264,,,0,0.312317,0.451566,0.702248,0.992073,1.631593,1.960037,2.095241,2.522379,2.934552,3.673156,4.142767,4.786847,5.147371,5.647313,6.148635,6.704401,7.296975,8.026609,8.300348000000001,8.937973000000001,9.255204,9.794049000000001,10.074670000000001,10.296943,10.716026000000001,11.164074000000001,11.362663000000001,11.531408,11.771168000000001,13.359269000000001,13.839373000000002,14.067507000000003
4-2807245,,,,0,0.139249,0.389931,0.679756,1.319276,1.6477199999999999,1.782924,2.2100619999999997,2.622235,3.360839,3.83045,4.47453,4.8350539999999995,5.334995999999999,5.8363179999999995,6.392084,6.984658,7.7142919999999995,7.988030999999999,8.625656,8.942886999999999,9.481732,9.762353,9.984625999999999,10.403709,10.851757,11.050346,11.219090999999999,11.458851,13.046952,13.527056,13.75519
5-2800262,,,,,0,0.250682,0.5405070000000001,1.180027,1.508471,1.643675,2.0708130000000002,2.4829860000000004,3.2215900000000004,3.6912010000000004,4.335281,4.695805,5.195747,5.697069,6.252835,6.845409,7.575043,7.848782,8.486407,8.803638,9.342483,9.623104,9.845377,10.26446,10.712508,10.911097,11.079842,11.319602,12.907703,13.387807,13.615941000000001
6-2807367,,,,,,0,0.289825,0.929345,1.257789,1.3929930000000001,1.8201310000000002,2.232304,2.970908,3.440519,4.084599,4.445123,4.945065,5.446387,6.002153,6.594727,7.324361,7.5981,8.235725,8.552956,9.091801,9.372422,9.594695,10.013778,10.461826,10.660415,10.82916,11.06892,12.657021,13.137125000000001,13.365259000000002
7-2800265,,,,,,,0,0.63952,0.967964,1.1031680000000001,1.5303060000000002,1.942479,2.681083,3.150694,3.7947740000000003,4.155298,4.65524,5.156562,5.712328,6.304902,7.034536,7.308275,7.9459,8.263131,8.801976,9.082597,9.30487,9.723953,10.172001,10.37059,10.539335,10.779095,12.367196,12.8473,13.075434000000001
8-2803682,,,,,,,,0,0.328444,0.463648,0.8907860000000001,1.302959,2.041563,2.511174,3.1552540000000002,3.515778,4.01572,4.517042,5.072808,5.665382,6.395016,6.668755,7.30638,7.6236109999999995,8.162455999999999,8.443076999999999,8.665349999999998,9.084432999999999,9.532480999999999,9.731069999999999,9.899814999999998,10.139574999999999,11.727675999999999,12.20778,12.435914
9-2807369,,,,,,,,,0,0.135204,0.562342,0.974515,1.713119,2.18273,2.82681,3.187334,3.6872759999999998,4.188598,4.744364,5.336938,6.066572,6.340311,6.977936,7.295166999999999,7.8340119999999995,8.114633,8.336905999999999,8.755989,9.204037,9.402626,9.571371,9.811131,11.399232,11.879336,12.107470000000001
10-2804135,,,,,,,,,,0,0.427138,0.8393109999999999,1.577915,2.047526,2.691606,3.05213,3.552072,4.053394,4.60916,5.201734,5.931368,6.205107,6.842732,7.159962999999999,7.698808,7.979429,8.201702,8.620785,9.068833,9.267422,9.436167,9.675927,11.264028,11.744132,11.972266000000001
11-2803684,,,,,,,,,,,0,0.41217299999999996,1.150777,1.620388,2.264468,2.6249919999999998,3.1249339999999997,3.6262559999999997,4.182022,4.774596,5.50423,5.777969,6.415594,6.732824999999999,7.271669999999999,7.552290999999999,7.774564,8.193647,8.641695,8.840284,9.009029,9.248789,10.83689,11.316994000000001,11.545128000000002
12-2803685,,,,,,,,,,,,0,0.738604,1.208215,1.852295,2.212819,2.712761,3.214083,3.769849,4.362423,5.092057,5.365796,6.0034209999999995,6.320651999999999,6.859496999999999,7.140117999999999,7.362391,7.781473999999999,8.229522,8.428111,8.596855999999999,8.836616,10.424717,10.904821,11.132955
13-2803686,,,,,,,,,,,,,0,0.46961099999999995,1.113691,1.474215,1.974157,2.475479,3.031245,3.623819,4.353453,4.627192,5.264817,5.5820479999999995,6.120893,6.401514,6.623787,7.04287,7.490918,7.689507,7.858252,8.098012,9.686113,10.166217000000001,10.394351000000002
14-2803687,,,,,,,,,,,,,,0,0.64408,1.004604,1.504546,2.005868,2.5616339999999997,3.1542079999999997,3.8838419999999996,4.1575809999999995,4.795205999999999,5.112436999999999,5.651281999999999,5.931902999999999,6.154176,6.573258999999999,7.021306999999999,7.219895999999999,7.388641,7.628401,9.216502,9.696606000000001,9.924740000000002
15-2804667,,,,,,,,,,,,,,,0,0.36052399999999996,0.860466,1.361788,1.917554,2.510128,3.239762,3.5135009999999998,4.151126,4.468356999999999,5.0072019999999995,5.2878229999999995,5.510096,5.9291789999999995,6.3772269999999995,6.575816,6.744561,6.9843210000000004,8.572422,9.052526,9.280660000000001
16-2803688,,,,,,,,,,,,,,,,0,0.499942,1.001264,1.55703,2.149604,2.879238,3.152977,3.790602,4.107832999999999,4.646678,4.927299,5.149572,5.568655,6.016703,6.215292,6.384037,6.623797000000001,8.211898000000001,8.692002000000002,8.920136000000003
17-2804778,,,,,,,,,,,,,,,,,0,0.501322,1.057088,1.649662,2.379296,2.653035,3.29066,3.607891,4.146736,4.427357,4.64963,5.068713,5.516761,5.71535,5.884095,6.123855000000001,7.711956000000001,8.192060000000001,8.420194000000002
18-2804262,,,,,,,,,,,,,,,,,,0,0.555766,1.14834,1.877974,2.151713,2.789338,3.106569,3.6454139999999997,3.9260349999999997,4.148308,4.567391,5.015439,5.214028,5.382773,5.622533000000001,7.210634000000001,7.6907380000000005,7.918872
19-2806280,,,,,,,,,,,,,,,,,,,0,0.5925739999999999,1.3222079999999998,1.5959469999999998,2.2335719999999997,2.5508029999999997,3.0896479999999995,3.3702689999999995,3.5925419999999995,4.0116249999999996,4.4596729999999996,4.658262,4.827007,5.0667670000000005,6.6548680000000004,7.134972,7.363106
20-2804264,,,,,,,,,,,,,,,,,,,,0,0.729634,1.003373,1.6409980000000002,1.9582290000000002,2.4970740000000005,2.7776950000000005,2.9999680000000004,3.4190510000000005,3.8670990000000005,4.065688000000001,4.234433000000001,4.474193000000001,6.062294000000001,6.542398000000001,6.770532000000001
