순번_정류장ID,1-2801597,2-2801586,3-2801567,4-2801534,5-2801509,6-2801507,7-2801561,8-2801608,9-2801648,10-2801184,11-2801659,12-2801647,13-2801207,14-2801605,15-2801576,16-2801549,17-2801584
1-2801597,0,0.157005,0.303179,0.6910540000000001,1.210452,1.569058,1.84607,2.1587680000000002,2.582606,2.9575340000000003,3.287161,3.9528950000000003,4.161309,4.514363,4.72639,5.124213,5.563685
2-2801586,,0,0.146174,0.534049,1.0534469999999998,1.4120529999999998,1.6890649999999998,2.001763,2.425601,2.800529,3.130156,3.79589,4.004304,4.3573580000000005,4.5693850000000005,4.967208,5.406680000000001
3-2801567,,,0,0.387875,0.907273,1.265879,1.542891,1.855589,2.279427,2.6543550000000002,2.983982,3.649716,3.85813,4.211184,4.423211,4.821034,5.260506
4-2801534,,,,0,0.5193979999999999,0.8780039999999999,1.1550159999999998,1.4677139999999997,1.8915519999999997,2.2664799999999996,2.5961069999999995,3.2618409999999995,3.4702549999999994,3.823308999999999,4.035335999999999,4.433158999999999,4.872630999999999
5-2801509,,,,,0,0.358606,0.635618,0.9483159999999999,1.3721539999999999,1.7470819999999998,2.0767089999999997,2.7424429999999997,2.9508569999999996,3.3039109999999994,3.5159379999999993,3.913760999999999,4.3532329999999995
6-2801507,,,,,,0,0.277012,0.58971,1.013548,1.3884759999999998,1.7181029999999997,2.3838369999999998,2.5922509999999996,2.9453049999999994,3.1573319999999994,3.555154999999999,3.994626999999999
7-2801561,,,,,,,0,0.312698,0.736536,1.111464,1.4410910000000001,2.106825,2.315239,2.6682930000000002,2.88032,3.278143,3.717615
8-2801608,,,,,,,,0,0.423838,0.7987660000000001,1.128393,1.794127,2.002541,2.355595,2.567622,2.965445,3.4049169999999997
9-2801648,,,,,,,,,0,0.37492800000000004,0.704555,1.370289,1.578703,1.931757,2.143784,2.541607,2.981079
10-2801184,,,,,,,,,,0,0.329627,0.995361,1.203775,1.556829,1.768856,2.166679,2.6061509999999997
11-2801659,,,,,,,,,,,0,0.665734,0.874148,1.2272020000000001,1.439229,1.8370520000000001,2.276524
12-2801647,,,,,,,,,,,,0,0.208414,0.561468,0.7734949999999999,1.1713179999999999,1.61079
13-2801207,,,,,,,,,,,,,0,0.353054,0.5650809999999999,0.962904,1.402376
14-2801605,,,,,,,,,,,,,,0,0.212027,0.60985,1.049322
15-2801576,,,,,,,,,,,,,,,0,0.397823,0.837295
16-2801549,,,,,,,,,,,,,,,,0,0.43947200000000003
17-2801584,,,,,,,,,,,,,,,,,0
