순번_정류장ID,1-2807426,2-2806167,3-2807235,4-2807431,5-2807236,6-2807282,7-2806007,8-2805909,9-2806009,10-2800339
1-2807426,0,2.36956,3.6936999999999998,4.309827,4.760077,5.1209929999999995,6.350892999999999,7.010108999999999,7.6716999999999995,9.792544
2-2806167,,0,1.3241399999999999,1.940267,2.390517,2.751433,3.9813330000000002,4.640549,5.30214,7.422984
3-2807235,,,0,0.6161270000000001,1.0663770000000001,1.4272930000000001,2.6571930000000004,3.316409,3.978,6.098844
4-2807431,,,,0,0.45025,0.8111659999999999,2.041066,2.7002819999999996,3.3618729999999997,5.482716999999999
5-2807236,,,,,0,0.36091599999999996,1.590816,2.250032,2.911623,5.0324670000000005
6-2807282,,,,,,0,1.2299,1.889116,2.550707,4.671551
7-2806007,,,,,,,0,0.659216,1.320807,3.4416510000000002
8-2805909,,,,,,,,0,0.661591,2.782435
9-2806009,,,,,,,,,0,2.120844
10-2800339,,,,,,,,,,0
