순번_정류장ID,1-2800309,2-2805303,3-2800514,4-2800518,5-2800560,6-2800563,7-2807520,8-2807504,1-2803214,2-2803360,3-2805324,4-2803380,5-2805503,6-2803207,7-2803173,8-2803175
1-2800309,0,0.6729649999999999,1.012881,3.584468,5.001496,7.331278,17.172478,29.515824000000002,31.358459000000003,32.168582,36.520564,36.694415,37.685494,38.210589,38.797596,39.803399999999996
2-2805303,,0,0.339916,2.911503,4.328531,6.658313,16.499513,28.842859,30.685494000000002,31.495617000000003,35.847599,36.02145,37.012529,37.537624,38.124631,39.130435
3-2800514,,,0,2.571587,3.9886150000000002,6.318397,16.159597,28.502943000000002,30.345578000000003,31.155701000000004,35.507683,35.681534,36.672613,37.197708,37.784715,38.790518999999996
4-2800518,,,,0,1.4170280000000002,3.74681,13.58801,25.931356,27.773991000000002,28.584114000000003,32.936096000000006,33.109947000000005,34.101026000000005,34.626121000000005,35.213128000000005,36.218932
5-2800560,,,,,0,2.329782,12.170982,24.514328,26.356963,27.167086,31.519068,31.692919,32.683998,33.209093,33.7961,34.801904
6-2800563,,,,,,0,9.8412,22.184546,24.027181000000002,24.837304000000003,29.189286000000003,29.363137000000002,30.354216,30.879311,31.466318,32.472122
7-2807520,,,,,,,0,12.343346,14.185981,14.996103999999999,19.348086,19.521936999999998,20.513015999999997,21.038110999999997,21.625117999999997,22.630921999999998
8-2807504,,,,,,,,0,1.8426349999999998,2.6527579999999995,7.004739999999999,7.178590999999999,8.16967,8.694765,9.281772,10.287576
1-2803214,,,,,,,,,0.0,0.8101229999999999,5.1621049999999995,5.3359559999999995,6.3270349999999995,6.85213,7.439137,8.444941
2-2803360,,,,,,,,,,0.0,4.351982,4.5258329999999996,5.516912,6.042007,6.629014,7.634818
3-2805324,,,,,,,,,,,0.0,0.173851,1.16493,1.6900249999999999,2.2770319999999997,3.2828359999999996
4-2803380,,,,,,,,,,,,0.0,0.991079,1.516174,2.1031809999999997,3.1089849999999997
5-2805503,,,,,,,,,,,,,0.0,0.525095,1.112102,2.117906
6-2803207,,,,,,,,,,,,,,0.0,0.587007,1.5928110000000002
7-2803173,,,,,,,,,,,,,,,0.0,1.0058040000000001
8-2803175,,,,,,,,,,,,,,,,0.0
