순번_정류장ID,1-2803031,2-2803025,3-2802976,4-2802957,5-2802933,6-2802911,7-2802891,8-2802879,9-2802621,10-2803264,11-2803251,12-2803242,13-2803231,14-2803229
1-2803031,0,0.17468399999999998,0.7726959999999999,1.032248,1.2172070000000001,1.3866950000000002,1.5835570000000003,1.7886500000000003,2.1623300000000003,2.9471690000000006,3.2648260000000007,3.4959920000000007,4.033921,4.269957000000001
2-2803025,,0,0.598012,0.857564,1.042523,1.2120110000000002,1.4088730000000003,1.6139660000000002,1.9876460000000002,2.7724850000000005,3.0901420000000006,3.3213080000000006,3.8592370000000007,4.095273000000001
3-2802976,,,0,0.259552,0.444511,0.613999,0.8108609999999999,1.0159539999999998,1.3896339999999998,2.174473,2.49213,2.723296,3.261225,3.497261
4-2802957,,,,0,0.18495899999999998,0.35444699999999996,0.5513089999999999,0.7564019999999999,1.1300819999999998,1.9149209999999999,2.2325779999999997,2.4637439999999997,3.001673,3.2377089999999997
5-2802933,,,,,0,0.169488,0.36634999999999995,0.5714429999999999,0.9451229999999999,1.729962,2.047619,2.278785,2.816714,3.05275
6-2802911,,,,,,0,0.19686199999999998,0.40195499999999995,0.775635,1.5604740000000001,1.8781310000000002,2.109297,2.6472260000000003,2.883262
7-2802891,,,,,,,0,0.20509299999999997,0.578773,1.363612,1.6812690000000001,1.912435,2.450364,2.6864
8-2802879,,,,,,,,0,0.37368,1.158519,1.4761760000000002,1.7073420000000001,2.2452710000000002,2.481307
9-2802621,,,,,,,,,0,0.7848390000000001,1.1024960000000001,1.3336620000000001,1.871591,2.107627
10-2803264,,,,,,,,,,0,0.317657,0.5488230000000001,1.0867520000000002,1.322788
11-2803251,,,,,,,,,,,0,0.23116599999999998,0.769095,1.005131
12-2803242,,,,,,,,,,,,0,0.537929,0.773965
13-2803231,,,,,,,,,,,,,0,0.23603600000000002
14-2803229,,,,,,,,,,,,,,0
