순번_정류장ID,51-2803704,52-2804633,53-2803707,54-2803709,55-2806218,56-2803710,57-2803712,58-2803713,59-2803717,60-2803722,61-2803724,62-2803725,63-2803753,64-2804637,65-2803726,66-2803727,67-2803729,68-2803731,69-2803733,70-2804300,71-2803738,72-2807372,73-2803736,74-2803739,75-2803700,76-2803699,77-2803697,78-2803695,79-2803693,80-2804775,81-2803741,82-2803742,83-2803743,84-2803744,85-2804666,86-2803745,87-2803746,88-2803747,89-2803748,90-2804688,91-2807370,92-2803604,93-2800266,94-2807368,95-2804602,96-2803580,97-2800263,98-2800267,99-2804032
51-2803704,0,0.502004,1.045023,1.306375,1.6659890000000002,1.7991550000000003,1.9991440000000003,2.6881700000000004,3.4692300000000005,3.8055180000000006,4.241003000000001,4.751128000000001,4.919873000000002,5.159633000000002,5.494047000000002,7.163256000000002,7.535386000000003,7.855097000000002,8.229499000000002,8.686108000000003,8.990401000000002,9.282355000000003,9.570097000000002,9.816235000000002,9.980667000000002,10.301997000000002,10.658983000000003,11.086653000000002,11.404122000000001,11.635167000000001,12.432919000000002,13.450885000000001,13.724405,14.294742000000001,14.598964,15.252218000000001,15.728835,16.46065,16.866708000000003,17.300043000000002,17.434976000000002,17.748724000000003,18.423111000000002,18.724258000000003,18.950695000000003,19.099863000000003,19.319874000000002,19.571897000000003,20.210622000000004
52-2804633,,0,0.5430189999999999,0.804371,1.1639849999999998,1.297151,1.49714,2.186166,2.967226,3.3035140000000003,3.738999,4.249124,4.4178690000000005,4.657629000000001,4.992043000000001,6.661252000000001,7.033382000000001,7.353093000000001,7.727495000000001,8.184104000000001,8.488397,8.780351000000001,9.068093000000001,9.314231000000001,9.478663000000001,9.799993,10.156979,10.584648999999999,10.902117999999998,11.133162999999998,11.930914999999999,12.948880999999998,13.222400999999998,13.792737999999998,14.096959999999997,14.750213999999998,15.226830999999997,15.958645999999996,16.364703999999996,16.798038999999996,16.932971999999996,17.246719999999996,17.921106999999996,18.222253999999996,18.448690999999997,18.597858999999996,18.817869999999996,19.069892999999997,19.708617999999998
53-2803707,,,0,0.261352,0.6209659999999999,0.7541319999999999,0.9541209999999999,1.643147,2.424207,2.760495,3.19598,3.706105,3.87485,4.11461,4.449024,6.118233,6.490363,6.810074,7.184476,7.641085,7.945378000000001,8.237332,8.525074,8.771212,8.935644,9.256974,9.613959999999999,10.041629999999998,10.359098999999997,10.590143999999997,11.387895999999998,12.405861999999997,12.679381999999997,13.249718999999997,13.553940999999996,14.207194999999997,14.683811999999996,15.415626999999995,15.821684999999995,16.255019999999995,16.389952999999995,16.703700999999995,17.378087999999995,17.679234999999995,17.905671999999996,18.054839999999995,18.274850999999995,18.526873999999996,19.165598999999997
54-2803709,,,,0,0.359614,0.49278,0.692769,1.3817949999999999,2.162855,2.499143,2.934628,3.444753,3.613498,3.853258,4.187672,5.856881,6.229011,6.548722,6.923124,7.379733,7.684026,7.97598,8.263722,8.50986,8.674292,8.995622,9.352608,9.780278,10.097746999999998,10.328791999999998,11.126543999999999,12.144509999999999,12.418029999999998,12.988366999999998,13.292588999999998,13.945842999999998,14.422459999999997,15.154274999999997,15.560332999999996,15.993667999999996,16.128600999999996,16.442348999999997,17.116735999999996,17.417882999999996,17.644319999999997,17.793487999999996,18.013498999999996,18.265521999999997,18.904246999999998
55-2806218,,,,,0,0.133166,0.333155,1.022181,1.803241,2.139529,2.575014,3.085139,3.2538839999999998,3.4936439999999997,3.8280579999999995,5.497266999999999,5.869396999999999,6.189107999999999,6.563509999999999,7.020118999999999,7.324412,7.616365999999999,7.904107999999999,8.150246,8.314677999999999,8.636007999999999,8.992994,9.420663999999999,9.738132999999998,9.969177999999998,10.766929999999999,11.784895999999998,12.058415999999998,12.628752999999998,12.932974999999997,13.586228999999998,14.062845999999997,14.794660999999996,15.200718999999996,15.634053999999995,15.768986999999996,16.082734999999996,16.757121999999995,17.058268999999996,17.284705999999996,17.433873999999996,17.653884999999995,17.905907999999997,18.544632999999997
56-2803710,,,,,,0,0.199989,0.889015,1.6700750000000002,2.0063630000000003,2.4418480000000002,2.951973,3.120718,3.360478,3.6948920000000003,5.364101,5.736231,6.055942,6.430344,6.886953,7.1912460000000005,7.4832,7.770942,8.01708,8.181512,8.502842,8.859828,9.287498,9.604966999999998,9.836011999999998,10.633764,11.651729999999999,11.925249999999998,12.495586999999999,12.799808999999998,13.453062999999998,13.929679999999998,14.661494999999997,15.067552999999997,15.500887999999996,15.635820999999996,15.949568999999997,16.623955999999996,16.925102999999996,17.151539999999997,17.300707999999997,17.520718999999996,17.772741999999997,18.411467
57-2803712,,,,,,,0,0.689026,1.4700860000000002,1.8063740000000004,2.2418590000000003,2.751984,2.920729,3.160489,3.494903,5.164111999999999,5.536242,5.8559529999999995,6.230354999999999,6.686964,6.991257,7.283211,7.570952999999999,7.817091,7.981522999999999,8.302852999999999,8.659838999999998,9.087508999999997,9.404977999999996,9.636022999999996,10.433774999999997,11.451740999999997,11.725260999999996,12.295597999999996,12.599819999999996,13.253073999999996,13.729690999999995,14.461505999999995,14.867563999999994,15.300898999999994,15.435831999999994,15.749579999999995,16.423966999999994,16.725113999999994,16.951550999999995,17.100718999999994,17.320729999999994,17.572752999999995,18.211477999999996
58-2803713,,,,,,,,0,0.7810600000000001,1.1173480000000002,1.5528330000000001,2.062958,2.231703,2.471463,2.8058769999999997,4.475085999999999,4.8472159999999995,5.166926999999999,5.541328999999999,5.9979379999999995,6.302231,6.5941849999999995,6.881926999999999,7.128064999999999,7.292496999999999,7.613826999999999,7.970812999999999,8.398482999999999,8.715951999999998,8.946996999999998,9.744748999999999,10.762714999999998,11.036234999999998,11.606571999999998,11.910793999999997,12.564047999999998,13.040664999999997,13.772479999999996,14.178537999999996,14.611872999999996,14.746805999999996,15.060553999999996,15.734940999999996,16.036087999999996,16.262524999999997,16.411692999999996,16.631703999999996,16.883726999999997,17.522451999999998
59-2803717,,,,,,,,,0,0.33628800000000003,0.771773,1.281898,1.450643,1.6904029999999999,2.0248169999999996,3.6940259999999996,4.066155999999999,4.385866999999999,4.760268999999999,5.2168779999999995,5.521171,5.813124999999999,6.100866999999999,6.347004999999999,6.511436999999999,6.832766999999999,7.189752999999999,7.617422999999999,7.934891999999999,8.165937,8.963688999999999,9.981654999999998,10.255174999999998,10.825511999999998,11.129733999999997,11.782987999999998,12.259604999999997,12.991419999999996,13.397477999999996,13.830812999999996,13.965745999999996,14.279493999999996,14.953880999999996,15.255027999999996,15.481464999999996,15.630632999999996,15.850643999999996,16.102666999999997,16.741391999999998
60-2803722,,,,,,,,,,0,0.435485,0.9456100000000001,1.114355,1.354115,1.688529,3.357738,3.7298679999999997,4.049579,4.4239809999999995,4.88059,5.184883,5.476837,5.7645789999999995,6.010717,6.175148999999999,6.496478999999999,6.853464999999999,7.281134999999999,7.598603999999999,7.829648999999999,8.627400999999999,9.645366999999998,9.918886999999998,10.489223999999998,10.793445999999998,11.446699999999998,11.923316999999997,12.655131999999996,13.061189999999996,13.494524999999996,13.629457999999996,13.943205999999996,14.617592999999996,14.918739999999996,15.145176999999997,15.294344999999996,15.514355999999996,15.766378999999995,16.405103999999994
