순번_정류장ID,19-2806391,20-2806389,21-2803927,22-2806341,23-2800260,24-2800275,25-2804713,26-2803598,27-2803600,28-2800273,29-2803601,30-2804331,31-2803581,32-2800271,33-2805489,34-2807150,35-2804581,36-2804582,37-2800267,38-2804032
19-2806391,0,0.347543,1.004743,1.36836,1.784222,2.01695,2.342629,2.520773,3.031909,3.474838,3.677447,3.859063,4.113383,4.594715,5.1016449999999995,5.465894,5.806829,6.108082,6.4682699999999995,7.1069949999999995
20-2806389,,0,0.6572,1.020817,1.436679,1.669407,1.9950860000000001,2.17323,2.6843660000000003,3.127295,3.329904,3.51152,3.76584,4.247172,4.754102,5.118351,5.459286,5.760539,6.120727,6.759452
21-2803927,,,0,0.363617,0.779479,1.012207,1.3378860000000001,1.5160300000000002,2.0271660000000002,2.470095,2.672704,2.85432,3.10864,3.589972,4.096902,4.461151,4.802086,5.103339,5.463527,6.102252
22-2806341,,,,0,0.415862,0.64859,0.974269,1.1524130000000001,1.6635490000000002,2.106478,2.309087,2.490703,2.7450229999999998,3.226355,3.733285,4.097534,4.4384689999999996,4.7397219999999995,5.0999099999999995,5.7386349999999995
23-2800260,,,,,0,0.23272800000000002,0.558407,0.736551,1.247687,1.690616,1.893225,2.074841,2.329161,2.810493,3.3174230000000002,3.6816720000000003,4.022607000000001,4.323860000000001,4.684048000000001,5.322773000000001
24-2800275,,,,,,0,0.325679,0.503823,1.014959,1.457888,1.6604970000000001,1.8421130000000001,2.096433,2.5777650000000003,3.0846950000000004,3.4489440000000005,3.7898790000000004,4.091132,4.45132,5.090045
25-2804713,,,,,,,0,0.178144,0.6892799999999999,1.132209,1.334818,1.516434,1.7707540000000002,2.2520860000000003,2.7590160000000004,3.1232650000000004,3.4642000000000004,3.7654530000000004,4.125641000000001,4.764366000000001
26-2803598,,,,,,,,0,0.5111359999999999,0.9540649999999999,1.156674,1.33829,1.59261,2.073942,2.5808720000000003,2.9451210000000003,3.2860560000000003,3.5873090000000003,3.9474970000000003,4.586222
27-2803600,,,,,,,,,0,0.442929,0.645538,0.827154,1.081474,1.5628060000000001,2.0697360000000002,2.4339850000000003,2.7749200000000003,3.0761730000000003,3.436361,4.075086000000001
28-2800273,,,,,,,,,,0,0.20260899999999998,0.384225,0.6385449999999999,1.1198769999999998,1.626807,1.991056,2.331991,2.633244,2.993432,3.632157
29-2803601,,,,,,,,,,,0,0.181616,0.435936,0.917268,1.424198,1.7884470000000001,2.129382,2.430635,2.790823,3.429548
30-2804331,,,,,,,,,,,,0,0.25432,0.735652,1.242582,1.6068310000000001,1.947766,2.249019,2.609207,3.247932
31-2803581,,,,,,,,,,,,,0,0.481332,0.988262,1.352511,1.693446,1.994699,2.354887,2.993612
32-2800271,,,,,,,,,,,,,,0,0.50693,0.8711789999999999,1.212114,1.513367,1.8735549999999999,2.5122799999999996
33-2805489,,,,,,,,,,,,,,,0,0.364249,0.705184,1.006437,1.366625,2.00535
34-2807150,,,,,,,,,,,,,,,,0,0.340935,0.642188,1.002376,1.641101
35-2804581,,,,,,,,,,,,,,,,,0,0.301253,0.661441,1.300166
36-2804582,,,,,,,,,,,,,,,,,,0,0.360188,0.9989129999999999
37-2800267,,,,,,,,,,,,,,,,,,,0,0.638725
38-2804032,,,,,,,,,,,,,,,,,,,,0
